4E00	一
4E59	乙
4E01	丁
4E03	七
4E43	乃
4E5D	九
4E86	了
4E8C	二
4EBA	人
513F	儿
5165	入
516B	八
51E0	几
5200	刀
5201	刁
529B	力
5315	匕
5341	十
535C	卜
53C8	又
4E09	三
4E0B	下
4E08	丈
4E0A	上
4E2B	丫
4E38	丸
51E1	凡
4E45	久
4E48	么
4E5F	也
4E5E	乞
4E8E	于
4EA1	亡
5140	兀
5203	刃
52FA	勺
5343	千
53C9	叉
53E3	口
571F	土
58EB	士
5915	夕
5927	大
5973	女
5B50	子
5B51	孑
5B53	孓
5BF8	寸
5C0F	小
5C22	尢
5C38	尸
5C71	山
5DDD	川
5DE5	工
5DF1	己
5DF2	已
5DF3	巳
5DFE	巾
5E72	干
5EFE	廾
5F0B	弋
5F13	弓
624D	才
4E11	丑
4E10	丐
4E0D	不
4E2D	中
4E30	丰
4E39	丹
4E4B	之
5C39	尹
4E88	予
4E91	云
4E95	井
4E92	互
4E94	五
4EA2	亢
4EC1	仁
4EC0	什
4EC3	仃
4EC6	仆
4EC7	仇
4ECD	仍
4ECA	今
4ECB	介
4EC4	仄
5143	元
5141	允
5167	內
516D	六
516E	兮
516C	公
5197	冗
51F6	凶
5206	分
5207	切
5208	刈
52FB	勻
52FE	勾
52FF	勿
5316	化
5339	匹
5348	午
5347	升
5345	卅
535E	卞
5384	厄
53CB	友
53CA	及
53CD	反
58EC	壬
5929	天
592B	夫
592A	太
592D	夭
5B54	孔
5C11	少
5C24	尤
5C3A	尺
5C6F	屯
5DF4	巴
5E7B	幻
5EFF	廿
5F14	弔
5F15	引
5FC3	心
6208	戈
6236	戶
624B	手
624E	扎
652F	支
6587	文
6597	斗
65A4	斤
65B9	方
65E5	日
66F0	曰
6708	月
6728	木
6B20	欠
6B62	止
6B79	歹
6BCB	毋
6BD4	比
6BDB	毛
6C0F	氏
6C34	水
706B	火
722A	爪
7236	父
723B	爻
7247	片
7259	牙
725B	牛
72AC	犬
738B	王
4E19	丙
4E16	世
4E15	丕
4E14	且
4E18	丘
4E3B	主
4E4D	乍
4E4F	乏
4E4E	乎
4EE5	以
4ED8	付
4ED4	仔
4ED5	仕
4ED6	他
4ED7	仗
4EE3	代
4EE4	令
4ED9	仙
4EDE	仞
5145	充
5144	兄
5189	冉
518A	冊
51AC	冬
51F9	凹
51FA	出
51F8	凸
520A	刊
52A0	加
529F	功
5305	包
5306	匆
5317	北
531D	匝
4EDF	仟
534A	半
5349	卉
5361	卡
5360	占
536F	卯
536E	卮
53BB	去
53EF	可
53E4	古
53F3	右
53EC	召
53EE	叮
53E9	叩
53E8	叨
53FC	叼
53F8	司
53F5	叵
53EB	叫
53E6	另
53EA	只
53F2	史
53F1	叱
53F0	台
53E5	句
53ED	叭
53FB	叻
56DB	四
56DA	囚
5916	外
592E	央
5931	失
5974	奴
5976	奶
5B55	孕
5B83	它
5C3C	尼
5DE8	巨
5DE7	巧
5DE6	左
5E02	市
5E03	布
5E73	平
5E7C	幼
5F01	弁
5F18	弘
5F17	弗
5FC5	必
620A	戊
6253	打
6254	扔
6252	扒
6251	扑
65A5	斥
65E6	旦
672E	朮
672C	本
672A	未
672B	末
672D	札
6B63	正
6BCD	母
6C11	民
6C10	氐
6C38	永
6C41	汁
6C40	汀
6C3E	氾
72AF	犯
7384	玄
7389	玉
74DC	瓜
74E6	瓦
7518	甘
751F	生
7528	用
7529	甩
7530	田
7531	由
7532	甲
7533	申
758B	疋
767D	白
76AE	皮
76BF	皿
76EE	目
77DB	矛
77E2	矢
77F3	石
793A	示
79BE	禾
7A74	穴
7ACB	立
4E1E	丞
4E1F	丟
4E52	乒
4E53	乓
4E69	乩
4E99	亙
4EA4	交
4EA6	亦
4EA5	亥
4EFF	仿
4F09	伉
4F19	伙
4F0A	伊
4F15	伕
4F0D	伍
4F10	伐
4F11	休
4F0F	伏
4EF2	仲
4EF6	件
4EFB	任
4EF0	仰
4EF3	仳
4EFD	份
4F01	企
4F0B	伋
5149	光
5147	兇
5146	兆
5148	先
5168	全
5171	共
518D	再
51B0	冰
5217	列
5211	刑
5212	划
520E	刎
5216	刖
52A3	劣
5308	匈
5321	匡
5320	匠
5370	印
5371	危
5409	吉
540F	吏
540C	同
540A	吊
5410	吐
5401	吁
540B	吋
5404	各
5411	向
540D	名
5408	合
5403	吃
540E	后
5406	吆
5412	吒
56E0	因
56DE	回
56DD	囝
5733	圳
5730	地
5728	在
572D	圭
572C	圬
572F	圯
5729	圩
5919	夙
591A	多
5937	夷
5938	夸
5984	妄
5978	奸
5983	妃
597D	好
5979	她
5982	如
5981	妁
5B57	字
5B58	存
5B87	宇
5B88	守
5B85	宅
5B89	安
5BFA	寺
5C16	尖
5C79	屹
5DDE	州
5E06	帆
5E76	并
5E74	年
5F0F	式
5F1B	弛
5FD9	忙
5FD6	忖
620E	戎
620C	戌
620D	戍
6210	成
6263	扣
625B	扛
6258	托
6536	收
65E9	早
65E8	旨
65EC	旬
65ED	旭
66F2	曲
66F3	曳
6709	有
673D	朽
6734	朴
6731	朱
6735	朵
6B21	次
6B64	此
6B7B	死
6C16	氖
6C5D	汝
6C57	汗
6C59	汙
6C5F	江
6C60	池
6C50	汐
6C55	汕
6C61	污
6C5B	汛
6C4D	汍
6C4E	汎
7070	灰
725F	牟
725D	牝
767E	百
7AF9	竹
7C73	米
7CF8	糸
7F36	缶
7F8A	羊
7FBD	羽
8001	老
8003	考
800C	而
8012	耒
8033	耳
807F	聿
8089	肉
808B	肋
808C	肌
81E3	臣
81EA	自
81F3	至
81FC	臼
820C	舌
821B	舛
821F	舟
826E	艮
8272	色
827E	艾
866B	虫
8840	血
884C	行
8863	衣
897F	西
9621	阡
4E32	串
4EA8	亨
4F4D	位
4F4F	住
4F47	佇
4F57	佗
4F5E	佞
4F34	伴
4F5B	佛
4F55	何
4F30	估
4F50	佐
4F51	佑
4F3D	伽
4F3A	伺
4F38	伸
4F43	佃
4F54	佔
4F3C	似
4F46	但
4F63	佣
4F5C	作
4F60	你
4F2F	伯
4F4E	低
4F36	伶
4F59	余
4F5D	佝
4F48	佈
4F5A	佚
514C	兌
514B	克
514D	免
5175	兵
51B6	冶
51B7	冷
5225	別
5224	判
5229	利
522A	刪
5228	刨
52AB	劫
52A9	助
52AA	努
52AC	劬
5323	匣
5373	即
5375	卵
541D	吝
542D	吭
541E	吞
543E	吾
5426	否
544E	呎
5427	吧
5446	呆
5443	呃
5433	吳
5448	呈
5442	呂
541B	君
5429	吩
544A	告
5439	吹
543B	吻
5438	吸
542E	吮
5435	吵
5436	吶
5420	吠
543C	吼
5440	呀
5431	吱
542B	含
541F	吟
542C	听
56EA	囪
56F0	困
56E4	囤
56EB	囫
574A	坊
5751	坑
5740	址
574D	坍
5747	均
574E	坎
573E	圾
5750	坐
574F	坏
573B	圻
58EF	壯
593E	夾
599D	妝
5992	妒
59A8	妨
599E	妞
59A3	妣
5999	妙
5996	妖
598D	妍
59A4	妤
5993	妓
598A	妊
59A5	妥
5B5D	孝
5B5C	孜
5B5A	孚
5B5B	孛
5B8C	完
5B8B	宋
5B8F	宏
5C2C	尬
5C40	局
5C41	屁
5C3F	尿
5C3E	尾
5C90	岐
5C91	岑
5C94	岔
5C8C	岌
5DEB	巫
5E0C	希
5E8F	序
5E87	庇
5E8A	床
5EF7	廷
5F04	弄
5F1F	弟
5F64	彤
5F62	形
5F77	彷
5F79	役
5FD8	忘
5FCC	忌
5FD7	志
5FCD	忍
5FF1	忱
5FEB	快
5FF8	忸
5FEA	忪
6212	戒
6211	我
6284	抄
6297	抗
6296	抖
6280	技
6276	扶
6289	抉
626D	扭
628A	把
627C	扼
627E	找
6279	批
6273	扳
6292	抒
626F	扯
6298	折
626E	扮
6295	投
6293	抓
6291	抑
6286	抆
6539	改
653B	攻
6538	攸
65F1	旱
66F4	更
675F	束
674E	李
674F	杏
6750	材
6751	村
675C	杜
6756	杖
675E	杞
6749	杉
6746	杆
6760	杠
6753	杓
6757	杗
6B65	步
6BCF	每
6C42	求
6C5E	汞
6C99	沙
6C81	沁
6C88	沈
6C89	沉
6C85	沅
6C9B	沛
6C6A	汪
6C7A	決
6C90	沐
6C70	汰
6C8C	沌
6C68	汨
6C96	沖
6C92	沒
6C7D	汽
6C83	沃
6C72	汲
6C7E	汾
6C74	汴
6C86	沆
6C76	汶
6C8D	沍
6C94	沔
6C98	沘
6C82	沂
7076	灶
707C	灼
707D	災
7078	灸
7262	牢
7261	牡
7260	牠
72C4	狄
72C2	狂
7396	玖
752C	甬
752B	甫
7537	男
7538	甸
7682	皂
76EF	盯
77E3	矣
79C1	私
79C0	秀
79BF	禿
7A76	究
7CFB	系
7F55	罕
8096	肖
8093	肓
809D	肝
8098	肘
809B	肛
809A	肚
80B2	育
826F	良
8292	芒
828B	芋
828D	芍
898B	見
89D2	角
8A00	言
8C37	谷
8C46	豆
8C55	豕
8C9D	貝
8D64	赤
8D70	走
8DB3	足
8EAB	身
8ECA	車
8F9B	辛
8FB0	辰
8FC2	迂
8FC6	迆
8FC5	迅
8FC4	迄
5DE1	巡
9091	邑
90A2	邢
90AA	邪
90A6	邦
90A3	那
9149	酉
91C6	釆
91CC	里
9632	防
962E	阮
9631	阱
962A	阪
962C	阬
4E26	並
4E56	乖
4E73	乳
4E8B	事
4E9B	些
4E9E	亞
4EAB	享
4EAC	京
4F6F	佯
4F9D	依
4F8D	侍
4F73	佳
4F7F	使
4F6C	佬
4F9B	供
4F8B	例
4F86	來
4F83	侃
4F70	佰
4F75	併
4F88	侈
4F69	佩
4F7B	佻
4F96	侖
4F7E	佾
4F8F	侏
4F91	侑
4F7A	佺
5154	兔
5152	兒
5155	兕
5169	兩
5177	具
5176	其
5178	典
51BD	冽
51FD	函
523B	刻
5238	券
5237	刷
523A	刺
5230	到
522E	刮
5236	制
5241	剁
52BE	劾
52BB	劻
5352	卒
5354	協
5353	卓
5351	卑
5366	卦
5377	卷
5378	卸
5379	卹
53D6	取
53D4	叔
53D7	受
5473	味
5475	呵
5496	咖
5478	呸
5495	咕
5480	咀
547B	呻
5477	呷
5484	咄
5492	咒
5486	咆
547C	呼
5490	咐
5471	呱
5476	呶
548C	和
549A	咚
5462	呢
5468	周
548B	咋
547D	命
548E	咎
56FA	固
5783	垃
5777	坷
576A	坪
5769	坩
5761	坡
5766	坦
5764	坤
577C	坼
591C	夜
5949	奉
5947	奇
5948	奈
5944	奄
5954	奔
59BE	妾
59BB	妻
59D4	委
59B9	妹
59AE	妮
59D1	姑
59C6	姆
59D0	姐
59CD	姍
59CB	始
59D3	姓
59CA	姊
59AF	妯
59B3	妳
59D2	姒
59C5	姅
5B5F	孟
5B64	孤
5B63	季
5B97	宗
5B9A	定
5B98	官
5B9C	宜
5B99	宙
5B9B	宛
5C1A	尚
5C48	屈
5C45	居
5C46	屆
5CB7	岷
5CA1	岡
5CB8	岸
5CA9	岩
5CAB	岫
5CB1	岱
5CB3	岳
5E18	帘
5E1A	帚
5E16	帖
5E15	帕
5E1B	帛
5E11	帑
5E78	幸
5E9A	庚
5E97	店
5E9C	府
5E95	底
5E96	庖
5EF6	延
5F26	弦
5F27	弧
5F29	弩
5F80	往
5F81	征
5F7F	彿
5F7C	彼
5FDD	忝
5FE0	忠
5FFD	忽
5FF5	念
5FFF	忿
600F	怏
6014	怔
602F	怯
6035	怵
6016	怖
602A	怪
6015	怕
6021	怡
6027	性
6029	怩
602B	怫
601B	怛
6216	或
6215	戕
623F	房
623E	戾
6240	所
627F	承
62C9	拉
62CC	拌
62C4	拄
62BF	抿
62C2	拂
62B9	抹
62D2	拒
62DB	招
62AB	披
62D3	拓
62D4	拔
62CB	拋
62C8	拈
62A8	抨
62BD	抽
62BC	押
62D0	拐
62D9	拙
62C7	拇
62CD	拍
62B5	抵
62DA	拚
62B1	抱
62D8	拘
62D6	拖
62D7	拗
62C6	拆
62AC	抬
62CE	拎
653E	放
65A7	斧
65BC	於
65FA	旺
6614	昔
6613	易
660C	昌
6606	昆
6602	昂
660E	明
6600	昀
660F	昏
6615	昕
660A	昊
6607	昇
670D	服
670B	朋
676D	杭
678B	枋
6795	枕
6771	東
679C	果
6773	杳
6777	杷
6787	枇
679D	枝
6797	林
676F	杯
6770	杰
677F	板
6789	枉
677E	松
6790	析
6775	杵
679A	枚
6793	枓
677C	杼
676A	杪
6772	杲
6B23	欣
6B66	武
6B67	歧
6B7F	歿
6C13	氓
6C1B	氛
6CE3	泣
6CE8	注
6CF3	泳
6CB1	沱
6CCC	泌
6CE5	泥
6CB3	河
6CBD	沽
6CBE	沾
6CBC	沼
6CE2	波
6CAB	沫
6CD5	法
6CD3	泓
6CB8	沸
6CC4	泄
6CB9	油
6CC1	況
6CAE	沮
6CD7	泗
6CC5	泅
6CF1	泱
6CBF	沿
6CBB	治
6CE1	泡
6CDB	泛
6CCA	泊
6CAC	沬
6CEF	泯
6CDC	泜
6CD6	泖
6CE0	泠
7095	炕
708E	炎
7092	炒
708A	炊
7099	炙
722C	爬
722D	爭
7238	爸
7248	版
7267	牧
7269	物
72C0	狀
72CE	狎
72D9	狙
72D7	狗
72D0	狐
73A9	玩
73A8	玨
739F	玟
73AB	玫
73A5	玥
753D	甽
759D	疝
7599	疙
759A	疚
7684	的
76C2	盂
76F2	盲
76F4	直
77E5	知
77FD	矽
793E	社
7940	祀
7941	祁
79C9	秉
79C8	秈
7A7A	空
7A79	穹
7AFA	竺
7CFE	糾
7F54	罔
7F8C	羌
7F8B	羋
8005	者
80BA	肺
80A5	肥
80A2	肢
80B1	肱
80A1	股
80AB	肫
80A9	肩
80B4	肴
80AA	肪
80AF	肯
81E5	臥
81FE	臾
820D	舍
82B3	芳
829D	芝
8299	芙
82AD	芭
82BD	芽
829F	芟
82B9	芹
82B1	花
82AC	芬
82A5	芥
82AF	芯
82B8	芸
82A3	芣
82B0	芰
82BE	芾
82B7	芷
864E	虎
8671	虱
521D	初
8868	表
8ECB	軋
8FCE	迎
8FD4	返
8FD1	近
90B5	邵
90B8	邸
90B1	邱
90B6	邶
91C7	采
91D1	金
9577	長
9580	門
961C	阜
9640	陀
963F	阿
963B	阻
9644	附
9642	陂
96B9	隹
96E8	雨
9752	青
975E	非
4E9F	亟
4EAD	亭
4EAE	亮
4FE1	信
4FB5	侵
4FAF	侯
4FBF	便
4FE0	俠
4FD1	俑
4FCF	俏
4FDD	保
4FC3	促
4FB6	侶
4FD8	俘
4FDF	俟
4FCA	俊
4FD7	俗
4FAE	侮
4FD0	俐
4FC4	俄
4FC2	係
4FDA	俚
4FCE	俎
4FDE	俞
4FB7	侷
5157	兗
5192	冒
5191	冑
51A0	冠
524E	剎
5243	剃
524A	削
524D	前
524C	剌
524B	剋
5247	則
52C7	勇
52C9	勉
52C3	勃
52C1	勁
530D	匍
5357	南
537B	卻
539A	厚
53DB	叛
54AC	咬
54C0	哀
54A8	咨
54CE	哎
54C9	哉
54B8	咸
54A6	咦
54B3	咳
54C7	哇
54C2	哂
54BD	咽
54AA	咪
54C1	品
54C4	哄
54C8	哈
54AF	咯
54AB	咫
54B1	咱
54BB	咻
54A9	咩
54A7	咧
54BF	咿
56FF	囿
5782	垂
578B	型
57A0	垠
57A3	垣
57A2	垢
57CE	城
57AE	垮
5793	垓
5955	奕
5951	契
594F	奏
594E	奎
5950	奐
59DC	姜
59D8	姘
59FF	姿
59E3	姣
59E8	姨
5A03	娃
59E5	姥
59EA	姪
59DA	姚
59E6	姦
5A01	威
59FB	姻
5B69	孩
5BA3	宣
5BA6	宦
5BA4	室
5BA2	客
5BA5	宥
5C01	封
5C4E	屎
5C4F	屏
5C4D	屍
5C4B	屋
5CD9	峙
5CD2	峒
5DF7	巷
5E1D	帝
5E25	帥
5E1F	帟
5E7D	幽
5EA0	庠
5EA6	度
5EFA	建
5F08	弈
5F2D	弭
5F65	彥
5F88	很
5F85	待
5F8A	徊
5F8B	律
5F87	徇
5F8C	後
5F89	徉
6012	怒
601D	思
6020	怠
6025	急
600E	怎
6028	怨
604D	恍
6070	恰
6068	恨
6062	恢
6046	恆
6043	恃
606C	恬
606B	恫
606A	恪
6064	恤
6241	扁
62DC	拜
6316	挖
6309	按
62FC	拼
62ED	拭
6301	持
62EE	拮
62FD	拽
6307	指
62F1	拱
