5159	兙
515B	兛
515E	兞
515D	兝
5161	兡
5163	兣
55E7	嗧
74E9	瓩
7CCE	糎
4E42	乂
4E5C	乜
51F5	凵
531A	匚
5382	厂
4E07	万
4E0C	丌
4E47	乇
4E8D	亍
56D7	囗
FA0C	兀
5C6E	屮
5F73	彳
4E0F	丏
5187	冇
4E0E	与
4E2E	丮
4E93	亓
4EC2	仂
4EC9	仉
4EC8	仈
5198	冘
52FC	勼
536C	卬
53B9	厹
5720	圠
5903	夃
592C	夬
5C10	尐
5DFF	巿
65E1	旡
6BB3	殳
6BCC	毌
6C14	气
723F	爿
4E31	丱
4E3C	丼
4EE8	仨
4EDC	仜
4EE9	仩
4EE1	仡
4EDD	仝
4EDA	仚
520C	刌
531C	匜
534C	卌
5722	圢
5723	圣
5917	夗
592F	夯
5B81	宁
5B84	宄
5C12	尒
5C3B	尻
5C74	屴
5C73	屳
5E04	帄
5E80	庀
5E82	庂
5FC9	忉
6209	戉
6250	扐
6C15	氕
6C36	氶
6C43	汃
6C3F	氿
6C3B	氻
72AE	犮
72B0	犰
738A	玊
79B8	禸
808A	肊
961E	阞
4F0E	伎
4F18	优
4F2C	伬
4EF5	仵
4F14	伔
4EF1	仱
4F00	伀
4EF7	价
4F08	伈
4F1D	伝
4F02	伂
4F05	伅
4F22	伢
4F13	伓
4F04	伄
4EF4	仴
4F12	伒
51B1	冱
5213	刓
5209	刉
5210	刐
52A6	劦
5322	匢
531F	匟
534D	卍
538A	厊
5407	吇
56E1	囡
56DF	囟
572E	圮
572A	圪
5734	圴
593C	夼
5980	妀
597C	奼
5985	妅
597B	奻
597E	奾
5977	奷
597F	奿
5B56	孖
5C15	尕
5C25	尥
5C7C	屼
5C7A	屺
5C7B	屻
5C7E	屾
5DDF	巟
5E75	幵
5E84	庄
5F02	异
5F1A	弚
5F74	彴
5FD5	忕
5FD4	忔
5FCF	忏
625C	扜
625E	扞
6264	扤
6261	扡
6266	扦
6262	扢
6259	扙
6260	扠
625A	扚
6265	扥
65EF	旯
65EE	旮
673E	朾
6739	朹
6738	朸
673B	朻
673A	机
673F	朿
673C	朼
6733	朳
6C18	氘
6C46	汆
6C52	汒
6C5C	汜
6C4F	汏
6C4A	汊
6C54	汔
6C4B	汋
6C4C	汌
7071	灱
725E	牞
72B4	犴
72B5	犵
738E	玎
752A	甪
767F	癿
7A75	穵
7F51	网
8278	艸
827C	艼
8280	芀
827D	艽
827F	艿
864D	虍
897E	襾
9099	邙
9097	邗
9098	邘
909B	邛
9094	邔
9622	阢
9624	阤
9620	阠
9623	阣
4F56	佖
4F3B	伻
4F62	佢
4F49	佉
4F53	体
4F64	佤
4F3E	伾
4F67	佧
4F52	佒
4F5F	佟
4F41	佁
4F58	佘
4F2D	伭
4F33	伳
4F3F	伿
4F61	佡
518F	冏
51B9	冹
521C	刜
521E	刞
5221	刡
52AD	劭
52AE	劮
5309	匉
5363	卣
5372	卲
538E	厎
538F	厏
5430	吰
5437	吷
542A	吪
5454	呔
5445	呅
5419	吙
541C	吜
5425	吥
5418	吘
543D	吽
544F	呏
5441	呁
5428	吨
5424	吤
5447	呇
56EE	囮
56E7	囧
56E5	囥
5741	坁
5745	坅
574C	坌
5749	坉
574B	坋
5752	坒
5906	夆
5940	奀
59A6	妦
5998	妘
59A0	妠
5997	妗
598E	妎
59A2	妢
5990	妐
598F	妏
59A7	妧
59A1	妡
5B8E	宎
5B92	宒
5C28	尨
5C2A	尪
5C8D	岍
5C8F	岏
5C88	岈
5C8B	岋
5C89	岉
5C92	岒
5C8A	岊
5C86	岆
5C93	岓
5C95	岕
5DE0	巠
5E0A	帊
5E0E	帎
5E8B	庋
5E89	庉
5E8C	庌
5E88	庈
