516B	八
4ECB	介
65BC	於
4E03	七
8207	與
4E5D	九
4E4B	之
9593	間
7684	的
81EA	自
7136	然
6578	數
516D	六
5927	大
5BEB	寫
4F5C	作
634C	捌
963F	阿
62C9	拉
4F2F	伯
5B57	字
59D3	姓
5982	如
6F22	漢
4EE3	代
6709	有
897F	西
57DF	域
4EBA	人
6ED1	滑
4E8C	二
4E00	一
56DB	四
90E8	部
9996	首
8868	表
793A	示
91CF	量
662F	是
65B9	方
5F62	形
5BB9	容
591A	多
6216	或
9762	面
901A	通
9054	達
53E3	口
8A9E	語
9023	連
7528	用
5728	在
53BB	去
8072	聲
524D	前
8B80	讀
6210	成
967D	陽
5E73	平
865F	號
62DC	拜
6252	扒
525D	剝
958B	開
628A	把
6A58	橘
5B50	子
4F86	來
5403	吃
626F	扯
6389	掉
8863	衣
88F3	裳
6316	挖
5228	刨
571F	土
5824	堤
624B	手
6500	攀
4F4F	住
6771	東
8457	著
6B04	欄
6746	杆
4F60	你
4E0D	不
6703	會
4E0B	下
53ED	叭
53C3	參
898B	見
5587	喇
689D	條
6C7D	汽
8ECA	車
6A5F	機
5FFD	忽
807D	聽
5687	嚇
4E86	了
6211	我
8DF3	跳
758A	疊
5DF4	巴
570B	國
540D	名
6625	春
79CB	秋
6642	時
6240	所
5EFA	建
5BB6	家
6545	故
57CE	城
7D04	約
4ECA	今
9678	陸
5730	地
5340	區
5DDD	川
7701	省
8A5E	詞
8A08	計
7B97	算
6C23	氣
58D3	壓
529B	力
55AE	單
4F4D	位
70BA	為
82F1	英
97F3	音
8B6F	譯
6BCF	每
516C	公
5C3A	尺
53D7	受
5341	十
842C	萬
725B	牛
5678	噸
5373	即
5206	分
767E	百
56E0	因
7A31	稱
5176	其
5343	千
6BEB	毫
4E5F	也
723E	爾
7957	祗
671F	期
671B	望
76FC	盼
5143	元
79E6	秦
592B	夫
7B2C	第
6298	折
51CD	凍
524C	剌
7AAF	窯
4E2D	中
5230	到
90A3	那
660E	明
75DB	痛
89AA	親
7737	眷
6572	敲
9580	門
90FD	都
6C92	沒
500B	個
61C9	應
52AA	努
71DF	營
6C42	求
5377	卷
5B88	守
4E16	世
66F8	書
7A97	窗
6307	指
51FA	出
8EAB	身
5C11	少
6399	掙
4E9B	些
79C1	私
63A5	接
8FD1	近
8CBC	貼
4E09	三
6751	村
5F8C	後
5E97	店
6236	戶
773C	眼
5152	兒
77A7	瞧
539F	原
5BF6	寶
59B9	妹
5750	坐
7095	炕
6CBF	沿
4E0A	上
5144	兄
5F1F	弟
7AD9	站
9644	附
5C6C	屬
7269	物
9AD4	體
5C3E	尾
4E7E	乾
71E5	燥
6EBC	溼
7A20	稠
51DD	凝
7D50	結
584A	塊
934B	鍋
6CE5	泥
9E7D	鹽
5427	吧
9152	酒
6587	文
6AAF	檯
5973	女
5438	吸
83F8	菸
4ED6	他
7DE9	緩
548C	和
60C5	情
7DD2	緒
77ED	短
66AB	暫
7206	爆
88C2	裂
6253	打
69CD	槍
82AD	芭
7A2E	種
9999	香
8349	草
79AE	禮
516E	兮
9F13	鼓
50B3	傳
821E	舞
5B8B	宋
6D2A	洪
8208	興
7956	祖
88DC	補
6CE8	注
5DEB	巫
6301	持
8549	蕉
523A	刺
7AF9	竹
7B06	笆
82B1	花
8469	葩
590F	夏
671D	朝
83A8	莨
75A4	疤
7621	瘡
50B7	傷
7652	癒
5408	合
7559	留
75D5	痕
8DE1	跡
5F35	張
70C8	烈
4FD7	俗
547C	呼
66F0	曰
672C	本
7622	瘢
5200	刀
985E	類
4F3C	似
5E95	底
9019	這
7246	牆
600E	怎
9EBC	麼
5751	坑
7F93	羓
8089	肉
814A	腊
7F8A	羊
5951	契
4E39	丹
7834	破
8179	腹
8178	腸
80C3	胃
5BE6	實
4EE5	以
8F09	載
800C	而
5317	北
6649	晉
8B02	謂
5E1D	帝
7109	焉
6CDB	泛
822C	般
88FD	製
98DF	食
54C1	品
694A	楊
91CC	里
521D	初
592A	太
751F	生
84B2	蒲
8404	萄
6708	月
65E5	日
8A69	詩
6DEE	淮
