4E07	万
4E0C	丌
4E0F	丏
5187	冇
4E0E	与
4E2E	丮
4E30	丰
4E31	丱
4E42	乂
4E5C	乜
4E8D	亍
4E93	亓
4EA2	亢
4EB3	亳
4EB6	亶
4EB9	亹
4EC2	仂
4EC9	仉
4EE8	仨
4EDC	仜
4EE9	仩
4EE1	仡
4EDD	仝
4F0E	伎
4F18	优
4F2C	伬
4EF5	仵
4F14	伔
4F0B	伋
4EF1	仱
4F00	伀
4EF7	价
4F56	佖
4F3B	伻
4F62	佢
4F49	佉
4F53	体
4F64	佤
4F3E	伾
4F48	佈
4F67	佧
4F52	佒
4F5A	佚
4F5F	佟
4F41	佁
4F58	佘
4F98	侘
4F7C	佼
4F85	侅
4F7D	佽
4F80	侀
4F87	侇
4F76	佶
4F74	佴
4F89	侉
4F91	侑
4F84	侄
4F77	佷
4F4C	佌
4F97	侗
4F6A	佪
4F9A	侚
4F79	佹
4F81	侁
4F78	佸
4F90	侐
4F9C	侜
4F7A	佺
4F94	侔
4F9E	侞
4FCD	俍
4FC5	俅
4FD3	俓
4FB2	侲
4FC9	俉
4FB7	侷
4FCB	俋
4FC1	俁
4FD4	俔
4FDC	俜
4FD9	俙
4FBB	侻
4FB3	侳
4FDB	俛
4FC7	俇
501E	倞
5005	倅
5007	倇
5013	倓
5022	倢
5030	倰
501B	倛
4FF5	俵
4FF4	俴
5033	倳
5037	倷
502C	倬
4FF6	俶
4FF7	俷
5017	倗
501C	倜
5020	倠
506F	偯
5070	偰
506A	偪
5061	偡
505E	偞
5060	偠
506D	偭
5053	偓
504B	偋
505D	偝
5072	偲
5048	偈
504D	偍
5041	偁
505B	偛
504A	偊
5062	偢
5015	倕
5045	偅
505F	偟
5069	偩
506B	偫
509B	傛
509A	傚
5095	傕
5094	傔
509E	傞
508B	傋
50A3	傣
5083	傃
508C	傌
508E	傎
509D	傝
5068	偨
509C	傜
5092	傒
5082	傂
50BD	傽
50BF	傿
50C6	僆
50AE	傮
50C4	僄
50CA	僊
50B4	傴
50C7	僇
50C8	僈
50C2	僂
50B0	傰
50C1	僁
50BA	傺
50B1	傱
50CB	僋
50C9	僉
50E6	僦
50D4	僔
50D7	僗
50E8	僨
50F3	僳
50DB	僛
50EA	僪
50CE	僎
50DD	僝
50E4	僤
50D3	僓
50E9	僩
50EC	僬
50F0	僰
50FF	僿
5103	儃
5130	儰
50F8	僸
5106	儆
5107	儇
50F6	僶
50FE	僾
510B	儋
510C	儌
50FD	僽
511C	儜
5115	儕
5113	儓
5117	儗
511A	儚
5111	儑
5126	儦
5125	儥
5122	儢
5124	儤
5120	儠
5131	儱
5134	儴
5135	儵
5133	儳
513A	儺
5138	儸
5139	儹
513B	儻
513D	儽
515A	党
518F	冏
5194	冔
5193	冓
5198	冘
519E	冞
51AA	冪
51B1	冱
51BC	冼
51CA	凊
51C4	凄
51C5	凅
51D4	凔
51D8	凘
520C	刌
5209	刉
5213	刓
5216	刖
521C	刜
521E	刞
5235	刵
5232	刲
5233	刳
5246	剆
5231	刱
5244	剄
5249	剉
5261	剡
525A	剚
5252	剒
525E	剞
525F	剟
5255	剕
526B	剫
526D	剭
526C	剬
527A	剺
5278	剸
527B	剻
527C	剼
5282	劂
5280	劀
5281	劁
528B	劋
528C	劌
528A	劊
5293	劓
5296	劖
5298	劘
5297	劗
5299	劙
52A6	劦
52AD	劭
52BC	劼
52CD	勍
52D6	勖
52E3	勣
52E9	勩
52F0	勰
52F1	勱
52F4	勴
52FA	勺
530A	匊
531C	匜
5322	匢
532D	匭
5330	匰
5334	匴
5337	匷
533C	匼
533D	匽
534C	卌
534D	卍
5363	卣
536C	卬
537C	卼
5382	厂
538E	厎
5392	厒
5397	厗
5396	厖
539E	厞
539C	厜
53A4	厤
53AC	厬
53B9	厹
53C4	叄
53E1	叡
53FB	叻
5430	吰
5437	吷
542A	吪
5454	呔
542C	听
5487	咇
547F	呿
5481	咁
5491	咑
5482	咂
5488	咈
546B	呫
547A	呺
547E	呾
5465	呥
546C	呬
5474	呴
5466	呦
548D	咍
54A9	咩
54BA	咺
54A1	咡
54AD	咭
54A5	咥
54A7	咧
54CF	哏
54C3	哃
830D	茍
54B7	咷
54AE	咮
54D6	哖
54B6	咶
54C5	哅
54C6	哆
54BF	咿
54A0	咠
5470	呰
54BC	咼
54A2	咢
5526	唦
5507	唇
54E2	哢
5517	唗
5512	唒
54E7	哧
54F3	哳
54FD	哽
54E4	哤
551A	唚
54FF	哿
5504	唄
5508	唈
54EB	哫
550F	唏
5511	唑
5505	唅
5575	啵
5576	啶
553C	唼
554D	啍
5550	啐
5534	唴
552A	唪
5551	啑
5562	啢
5536	唶
5535	唵
5530	唰
5552	啒
5545	啅
5541	啁
5557	啗
550C	唌
5532	唲
5565	啥
554E	啎
5591	喑
55A8	喨
55A5	喥
55AD	喭
5577	啷
5645	噅
55A2	喢
55AB	喫
5593	喓
5588	喈
558F	喏
55B5	喵
5581	喁
5599	喙
55A3	喣
5592	喒
55A4	喤
557D	啽
558C	喌
55A6	喦
55C3	嗃
55DB	嗛
55CC	嗌
55D0	嗐
55C9	嗉
55CB	嗋
55CA	嗊
55DD	嗝
55C0	嗀
55D4	嗔
55C4	嗄
55E9	嗩
55BF	喿
55D2	嗒
558D	喍
55CF	嗏
55D5	嗕
55E2	嗢
55D6	嗖
55C8	嗈
55F2	嗲
5627	嘧
5615	嘕
560C	嘌
5612	嘒
55FC	嗼
560F	嘏
561C	嘜
5601	嘁
5610	嘐
5613	嘓
55F6	嗶
5602	嘂
55FA	嗺
561D	嘝
5604	嘄
55FF	嗿
5648	噈
5642	噂
564C	噌
5635	嘵
5641	噁
564A	噊
5649	噉
5646	噆
5658	噘
565A	噚
5640	噀
5633	嘳
563D	嘽
562C	嘬
563E	嘾
5638	嘸
564D	噍
5670	噰
5660	噠
5676	噶
566E	噮
5673	噳
5666	噦
5663	噣
566D	噭
5672	噲
565E	噞
5693	嚓
568C	嚌
568D	嚍
5686	嚆
5684	嚄
5683	嚃
5698	嚘
569C	嚜
5697	嚗
569A	嚚
56AB	嚫
56AD	嚭
56A6	嚦
56A7	嚧
56AA	嚪
56AC	嚬
56B2	嚲
56B5	嚵
56B3	嚳
56C3	囃
56BD	嚽
56BE	嚾
56C6	囆
56C5	囅
56CB	囋
56D3	囓
56CD	囍
56D4	囔
56D7	囗
56DD	囝
56E1	囡
56DF	囟
56EB	囫
56EE	囮
56E7	囧
56F7	囷
56F9	囹
56FF	囿
5701	圁
5704	圄
5702	圂
570A	圊
5709	圉
5707	圇
570C	圌
571C	圜
571E	圞
5720	圠
5729	圩
572E	圮
5741	坁
573B	圻
5745	坅
574C	坌
576F	坯
5772	坲
576D	坭
576B	坫
5771	坱
5770	坰
5776	坶
5780	垀
5775	坵
577B	坻
5773	坳
5774	坴
57B5	垵
579E	垞
5793	垓
579F	垟
57A4	垤
578C	垌
5797	垗
579D	垝
579B	垛
5794	垔
5798	垘
57CC	埌
5832	堲
57D5	埕
57D2	埒
57BA	垺
57C6	埆
57BD	垽
57BC	垼
57FB	埻
57E2	埢
57F6	埶
57DC	埜
57F4	埴
5800	堀
