4E00	一
4E8C	二
4E09	三
5341	十
6728	木
79BE	禾
4E0A	上
4E0B	下
571F	土
500B	個
516B	八
5165	入
5927	大
5929	天
4EBA	人
706B	火
6587	文
516D	六
4E03	七
5152	兒
4E5D	九
7121	無
53E3	口
65E5	日
4E2D	中
4E86	了
5B50	子
9580	門
6708	月
4E0D	不
958B	開
56DB	四
4E94	五
76EE	目
8033	耳
982D	頭
7C73	米
898B	見
767D	白
7530	田
96FB	電
4E5F	也
9577	長
5C71	山
51FA	出
98DB	飛
99AC	馬
9CE5	鳥
96F2	雲
516C	公
8ECA	車
725B	牛
7F8A	羊
5C0F	小
5C11	少
5DFE	巾
7259	牙
5C3A	尺
6BDB	毛
535C	卜
53C8	又
5FC3	心
98A8	風
529B	力
624B	手
6C34	水
5EE3	廣
5347	升
8DB3	足
8D70	走
65B9	方
534A	半
5DF4	巴
696D	業
672C	本
5E73	平
66F8	書
81EA	自
5DF2	已
6771	東
897F	西
56DE	回
7247	片
76AE	皮
751F	生
91CC	里
679C	果
5E7E	幾
7528	用
9B5A	魚
4ECA	今
6B63	正
96E8	雨
5169	兩
74DC	瓜
8863	衣
4F86	來
5E74	年
5DE6	左
53F3	右
842C	萬
767E	百
4E01	丁
9F4A	齊
51AC	冬
8AAA	說
53CB	友
8A71	話
6625	春
670B	朋
9AD8	高
4F60	你
7DA0	綠
5011	們
82B1	花
7D05	紅
8349	草
723A	爺
89AA	親
7BC0	節
7684	的
6B72	歲
884C	行
53E4	古
8655	處
8072	聲
77E5	知
591A	多
5FD9	忙
6D17	洗
771F	真
8A8D	認
7236	父
6383	掃
6BCD	母
7238	爸
5BEB	寫
5168	全
5B8C	完
95DC	關
5BB6	家
770B	看
7B11	笑
8457	著
8208	興
756B	畫
6703	會
5ABD	媽
5408	合
5976	奶
653E	放
5348	午
6536	收
5973	女
6C23	氣
592A	太
65E9	早
53BB	去
4EAE	亮
548C	和
674E	李
8A9E	語
79C0	秀
5343	千
9999	香
807D	聽
9060	遠
5531	唱
5B9A	定
9023	連
5411	向
4EE5	以
66F4	更
5F8C	後
610F	意
4E3B	主
7E3D	總
5148	先
8D77	起
4E7E	乾
660E	明
8D95	趕
6DE8	淨
540C	同
5C08	專
