4E00	一
4E8C	二
4E09	三
56DB	四
4E94	五
516D	六
4E03	七
516B	八
4E5D	九
3007	〇
58F9	壹
8CB3	貳
53C3	參
8086	肆
4F0D	伍
9678	陸
67D2	柒
634C	捌
7396	玖
96F6	零
5341	十
767E	百
5343	千
62FE	拾
4F70	佰
4EDF	仟
842C	萬
5143	元
5713	圓
6574	整
53F0	台
7063	灣
4E2D	中
83EF	華
6C11	民
570B	國
6771	東
897F	西
5357	南
5317	北
81FA	臺
65B0	新
9AD8	高
96C4	雄
7E23	縣
5E02	市
4E0A	上
4E0B	下
5DE6	左
53F3	右
5FAE	微
98A8	風
8FCE	迎
5BA2	客
8EDF	軟
8A9E	語
4F34	伴
8336	茶
5927	大
5C0F	小
7684	的
6709	有
662F	是
4E0D	不
4EBA	人
5728	在
4F86	來
6211	我
4E86	了
4EE5	以
5230	到
9019	這
53EF	可
8981	要
6642	時
6703	會
597D	好
5C31	就
500B	個
7528	用
70BA	為
4E5F	也
5BB6	家
591A	多
90FD	都
51FA	出
5F8C	後
904E	過
770B	看
6700	最
9EDE	點
5929	天
6240	所
81EA	自
9084	還
5F97	得
5FC3	心
958B	開
751F	生
4E4B	之
5F88	很
5B50	子
524D	前
5206	分
5011	們
7136	然
6C92	沒
80FD	能
5730	地
9593	間
65B9	方
65BC	於
8AAA	說
60F3	想
73FE	現
8D77	起
6210	成
9762	面
53BB	去
672C	本
7F8E	美
4F46	但
771F	真
5C0D	對
6A23	樣
611F	感
56E0	因
7576	當
5916	外
5176	其
5BE6	實
5982	如
53EA	只
6587	文
5B9A	定
9053	道
800C	而
6B21	次
9EBC	麼
679C	果
65E5	日
52A0	加
8457	著
52D5	動
767C	發
884C	行
8B93	讓
7D93	經
5E74	年
624B	手
5B8C	完
4ED6	他
4F5C	作
8207	與
5E38	常
518D	再
610F	意
5168	全
88E1	裡
540C	同
54C1	品
5F0F	式
6CD5	法
611B	愛
6BD4	比
5165	入
66F4	更
7121	無
4F4D	位
90A3	那
548C	和
540D	名
5167	內
5408	合
89BA	覺
77E5	知
76F8	相
91CD	重
8DEF	路
6216	或
5148	先
7279	特
55AE	單
7A2E	種
9032	進
53C8	又
8272	色
4F60	你
50CF	像
56DE	回
