72AC	犬
7CF8	糸
5915	夕
8D64	赤
866B	虫
7FBD	羽
4E38	丸
5CA9	岩
6C7D	汽
5F13	弓
5144	兄
77E2	矢
5BFA	寺
6674	晴
8239	船
4F53	体
4E07	万
9CF4	鳴
66DC	曜
59D4	委
6CF3	泳
592E	央
5BD2	寒
5CB8	岸
541B	君
5EAB	庫
796D	祭
76BF	皿
4ED5	仕
8A69	詩
6691	暑
662D	昭
6614	昔
70AD	炭
67F1	柱
7B1B	笛
60B2	悲
8FD4	返
52C9	勉
5F79	役
5104	億
82BD	芽
68B0	械
6CE3	泣
6F01	漁
7AF6	競
90E1	郡
82B8	芸
6B20	欠
672D	札
6C0F	氏
501F	借
81E3	臣
5E2D	席
5009	倉
5352	卒
5B6B	孫
4EF2	仲
8CAF	貯
5146	兆
4F1D	伝
5F92	徒
5175	兵
7267	牧
8108	脈
8CC0	賀
9006	逆
5238	券
8015	耕
707D	災
98FC	飼
8A3C	証
520A	刊
59BB	妻
7F6A	罪
679D	枝
6388	授
7E3E	績
820C	舌
7DD2	緒
9234	鈴
962A	阪
8CB8	貸
673A	机
7A74	穴
682A	株
515A	党
5B87	宇
5B99	宙
5CA1	岡
4E95	井
85E4	藤
90CE	郎
76E3	監
5FA1	御
6E21	渡
4E0E	与
7740	着
5186	円
53F6	叶
5742	坂
83D3	菓
5B9D	宝
54B2	咲
753B	画
8471	葱
5553	啓
88CF	裏
5869	塩
8E2A	踪
9244	鉄
62C5	担
8216	舖
753A	町
7CA7	粧
61A9	憩
6652	晒
7B20	笠
7881	碁
965B	陛
57FC	埼
9803	頃
89E6	触
7E70	繰
5272	割
5948	奈
9055	違
7DE0	締
7A3C	稼
55AB	喫
90A8	邨
7DAB	綫
6822	栢
7240	牀
9DC4	鷄
4E48	么
540E	后
4E8E	于
79CD	种
513F	儿
6C14	气
51E0	几
542C	听
5E76	并
590D	复
6B66	武
6781	极
79BB	离
4E91	云
5E72	干
786E	确
60CA	惊
5E1D	帝
51B2	冲
9769	革
4EF7	价
5F02	异
6279	批
5FFD	忽
6E38	游
54F2	哲
51C6	准
636E	据
6000	怀
4F59	余
6597	斗
613F	愿
6784	构
59D1	姑
79E6	秦
80DC	胜
9002	适
5723	圣
8D76	赶
5B81	宁
574F	坏
7687	皇
5B97	宗
6D1B	洛
5377	卷
4F2F	伯
77A7	瞧
5510	唐
6012	怒
5DDE	州
5224	判
8303	范
653B	攻
91C7	采
5F81	征
6258	托
9003	逃
8FC5	迅
6BEB	毫
5B8B	宋
54B1	咱
5212	划
90ED	郭
7956	祖
6731	朱
9109	鄉
60E0	惠
75C5	病
7246	牆
523A	刺
4ECD	仍
4EAC	京
8C6C	豬
7DE3	緣
674E	李
7DFB	緻
5E33	帳
6FC0	激
79FB	移
907F	避
8A73	詳
826F	良
9000	退
91CB	釋
7A97	窗
5EE0	廠
6E2C	測
79C0	秀
5C40	局
555F	啟
7AE5	童
5448	呈
5A5A	婚
5CF6	島
96F2	雲
81E8	臨
672B	末
817F	腿
9AA8	骨
812B	脫
7D2F	累
5C3E	尾
6A39	樹
5634	嘴
61B6	憶
65CF	族
7AF9	竹
7CD5	糕
6DF7	混
