522A	刪
9189	醉
606D	恭
5875	塵
4FCF	俏
6458	摘
6492	撒
6F06	漆
6D3D	洽
5B30	嬰
6F51	潑
6148	慈
6367	捧
51DD	凝
8774	蝴
62CB	拋
699C	榜
6EC5	滅
88C2	裂
5049	偉
82B3	芳
5DE1	巡
5E7D	幽
7CDF	糟
6EF7	滷
8292	芒
6842	桂
6182	憂
5949	奉
8E64	蹤
7A05	稅
5378	卸
54A7	咧
67F3	柳
75B2	疲
594F	奏
838E	莎
9D5D	鵝
6CDB	泛
9A45	驅
6851	桑
7058	灘
788C	碌
5F4C	彌
6068	恨
86C7	蛇
6E4A	湊
5962	奢
66C6	曆
4E43	乃
5006	倆
6349	捉
4E4F	乏
8AF8	諸
809D	肝
5782	垂
8A1D	訝
5657	噗
6572	敲
563F	嘿
5BE9	審
522E	刮
8CAA	貪
828B	芋
5D07	崇
71C3	燃
7F77	罷
7260	牠
6276	扶
9215	鈕
5360	占
9F52	齒
99D5	駕
694A	楊
8EB2	躲
6A38	樸
6BC0	毀
9774	靴
5766	坦
8463	董
5C4F	屏
6817	栗
896A	襪
6C27	氧
55B2	喲
655E	敞
80DE	胞
78B3	碳
61FC	懼
596A	奪
88F9	裹
9059	遙
4EAD	亭
8972	襲
6241	扁
609F	悟
8549	蕉
624E	扎
540B	吋
6F5B	潛
9676	陶
5662	噢
6F32	漲
81E5	臥
6930	椰
7C43	籃
8D0F	贏
75DE	痞
7D2E	紮
6E34	渴
9F9C	龜
582A	堪
543C	吼
5141	允
7345	獅
6B49	歉
9BAD	鮭
9F0E	鼎
78DA	磚
5BD3	寓
99D0	駐
51CC	凌
7F75	罵
80AA	肪
5289	劉
7434	琴
8299	芙
70F9	烹
50BE	傾
7A3F	稿
592F	夯
919C	醜
5951	契
82AC	芬
5FCC	忌
9336	錶
78A7	碧
7C4C	籌
543B	吻
704C	灌
5538	唸
9183	醃
5446	呆
614E	慎
64B2	撲
86E4	蛤
6170	慰
7955	祕
7344	獄
4FCA	俊
8352	荒
6D25	津
5147	兇
7E73	繳
5091	傑
7965	祥
816B	腫
