8259	艙
79B1	禱
8338	茸
6E5B	湛
5ED3	廓
5A36	娶
7015	瀕
82B9	芹
8309	茉
6850	桐
84C4	蓄
66D6	曖
86D9	蛙
714C	煌
70AE	炮
7E79	繹
7901	礁
7172	煲
62D9	拙
62EF	拯
5974	奴
8814	蠔
69A8	榨
5937	夷
76E5	盥
60DF	惟
779E	瞞
746F	瑯
52C3	勃
4EA8	亨
7469	瑩
97ED	韭
6C40	汀
4FB7	侷
9B0D	鬍
853D	蔽
8E1D	踝
9EDB	黛
6AB3	檳
5C39	尹
63CD	揍
6DF9	淹
7AED	竭
57A2	垢
6F58	潘
99B3	馳
6582	斂
9D1B	鴛
9D26	鴦
77EF	矯
50F5	僵
54CE	哎
7699	皙
7D13	紓
7239	爹
9264	鉤
8FAF	辯
98E2	飢
5AB3	媳
8046	聆
56C2	囂
68D7	棗
5D17	崗
964B	陋
9C48	鱈
7DBB	綻
543E	吾
6BAD	殭
5764	坤
9F63	齣
5632	嘲
618A	憊
518F	冏
5A9B	媛
638F	掏
62F1	拱
8D74	赴
5F6D	彭
5992	妒
6B79	歹
7409	琉
5339	匹
4FEF	俯
5F6C	彬
6473	摳
63F9	揹
5140	兀
6D36	洶
8D05	贅
68B5	梵
6DF5	淵
8335	茵
9472	鑲
9812	頒
745F	瑟
916C	酬
9F4B	齋
5A41	婁
810A	脊
5858	塘
650F	攏
7463	瑣
980C	頌
9209	鈉
970D	霍
8CC8	賈
7CEF	糯
6EEF	滯
9B77	魷
6467	摧
72F8	狸
56A8	嚨
539D	厝
54BB	咻
5F26	弦
978D	鞍
68CB	棋
55A7	喧
7B94	箔
9AE6	髦
566A	噪
8A50	詐
8EAC	躬
832B	茫
98EA	飪
5443	呃
8C4E	豎
786B	硫
55C7	嗇
9811	頑
6789	枉
51A5	冥
64F1	擱
78FA	磺
7ACA	竊
6649	晉
8B19	謙
932B	錫
86DB	蛛
7AC5	竅
9761	靡
6FEB	濫
9BCA	鯊
8FE6	迦
5DBC	嶼
91E6	釦
5CFB	峻
604D	恍
85FB	藻
879E	螞
5BE2	寢
97A0	鞠
9042	遂
5C65	履
6C9B	沛
9716	霖
5021	倡
76DE	盞
64A9	撩
99AD	馭
659F	斟
701D	瀝
995E	饞
7A98	窘
58AE	墮
5A49	婉
7CD7	糗
8151	腑
5653	噓
82AF	芯
5614	嘔
7C98	粘
65ED	旭
690E	椎
9B44	魄
7A57	穗
6289	抉
9B1A	鬚
5D4C	嵌
640F	搏
6B67	歧
82D3	苓
8CE4	賤
8AA6	誦
54FA	哺
556A	啪
8910	褐
6DEB	淫
8073	聳
6252	扒
574E	坎
71F4	燴
68CD	棍
70D9	烙
76CE	盎
5C5C	屜
91A3	醣
6F86	澆
9AB7	骷
99DD	駝
560E	嘎
646F	摯
9AD3	髓
8755	蝕
61FA	懺
5CAB	岫
65AC	斬
4F88	侈
947C	鑼
8B20	謠
62D0	拐
7009	瀉
78EF	磯
61C7	懇
555E	啞
8AF7	諷
500C	倌
632A	挪
9E82	麂
8305	茅
5733	圳
72E9	狩
5D16	崖
77DA	矚
6854	桔
8301	茁
50FB	僻
67F5	柵
65EC	旬
895F	襟
7280	犀
96DB	雛
6065	恥
5DEB	巫
9214	鈔
8718	蜘
606C	恬
6C50	汐
8C41	豁
78F7	磷
665D	晝
8EC0	軀
6B3D	欽
652C	攬
5885	墅
55C5	嗅
73C8	珈
8518	蔘
6514	攔
61C8	懈
7FE1	翡
755C	畜
51F3	凳
7AFF	竿
57AE	垮
5835	堵
8D16	贖
9083	邃
4E19	丙
75B9	疹
971E	霞
8AF1	諱
82DB	苛
8E66	蹦
7693	皓
6DD2	淒
572D	圭
7F55	罕
5A77	婷
7DBA	綺
9382	鎂
858F	薏
608D	悍
9709	霉
8588	薈
7F79	罹
9240	鉀
7DBD	綽
76C3	盃
69B4	榴
907C	遼
74E2	瓢
9E9F	麟
7CBD	粽
675E	杞
6C83	沃
745A	瑚
9ACF	髏
935B	鍛
7130	焰
68F2	棲
720D	爍
58E4	壤
8214	舔
9444	鑄
6756	杖
8F12	輒
9912	餒
52D8	勘
9824	頤
61FE	懾
6995	榕
77B0	瞰
64A4	撤
7CBF	粿
56CD	囍
970F	霏
6ABB	檻
8396	莖
4F36	伶
6FC1	濁
79BE	禾
82A1	芡
7A92	窒
5ED6	廖
6EBA	溺
8DBE	趾
67B8	枸
91D0	釐
536F	卯
925A	鉚
5288	劈
5F1B	弛
5955	奕
9310	錐
8354	荔
80DA	胚
99ED	駭
61F2	懲
744B	瑋
5D1B	崛
8B2C	謬
70CA	烊
8431	萱
96B4	隴
9661	陡
6FDB	濛
851A	蔚
5AB2	媲
5F65	彥
5D01	崁
58A9	墩
853B	蔻
5F0A	弊
846C	葬
532A	匪
9D6C	鵬
994C	饌
5AC2	嫂
6020	怠
667E	晾
92C5	鋅
5243	剃
8171	腱
9DD7	鷗
5B38	嬸
986B	顫
5BE8	寨
6FE4	濤
775E	睞
8517	蔗
627C	扼
5FF1	忱
7624	瘤
915A	酚
513C	儼
8A60	詠
56A5	嚥
6E43	湃
7E1B	縛
919E	醞
7DEC	緬
856A	蕪
8836	蠶
975A	靚
8AE6	諦
7738	眸
8E44	蹄
6966	楦
991B	餛
98E9	飩
840E	萎
79E9	秩
846B	葫
6F13	漓
6960	楠
5DA0	嶠
7BAC	箬
4F3D	伽
880D	蠍
7030	瀰
8F4D	轍
5C62	屢
67FF	柿
60B8	悸
6C28	氨
676D	杭
6B4E	歎
633E	挾
4EC6	仆
7736	眶
5F64	彤
62CE	拎
6D95	涕
6EAF	溯
896C	襬
6D8E	涎
64C4	擄
5A1F	娟
5D19	崙
6CAE	沮
9ABC	骼
66F3	曳
7A9F	窟
6328	挨
6C2F	氯
5349	卉
7076	灶
5029	倩
8258	艘
9631	阱
6E3A	渺
592D	夭
9245	鉅
9598	閘
552C	唬
64F2	擲
7950	祐
8FC4	迄
6C81	沁
797F	祿
9EEF	黯
8671	虱
93DF	鏟
5BD0	寐
7CDE	糞
5671	噱
6123	愣
56B7	嚷
8477	葷
786F	硯
7F88	羈
9D3F	鴿
7DF9	緹
55FD	嗽
99FF	駿
759A	疚
50D1	僑
6ECC	滌
77B3	瞳
96EF	雯
708A	炊
95E1	闡
562F	嘯
5B5C	孜
5C79	屹
501A	倚
84C1	蓁
56E4	囤
54C4	哄
549A	咚
6E32	渲
86FB	蛻
73C0	珀
7A3D	稽
6A1E	樞
5016	倖
85D5	藕
88B1	袱
5109	儉
8F4E	轎
5629	嘩
6ADA	櫚
54BD	咽
7028	瀨
95E2	闢
5E9A	庚
7621	瘡
7599	疙
93D8	鏘
99B4	馴
51DC	凜
8169	腩
70EF	烯
5398	厘
58D8	壘
699B	榛
9A5B	驛
60F6	惶
5514	唔
6A01	樁
7629	瘩
7109	焉
