8E34	踴
73EE	珮
96CD	雍
849E	蒞
5180	冀
6538	攸
5CED	峭
947F	鑿
568F	嚏
8E4B	蹋
9E9D	麝
8712	蜒
5556	啖
582F	堯
504C	偌
75FA	痺
873F	蜿
778B	瞋
8C4C	豌
88F4	裴
6994	榔
60D5	惕
91C9	釉
5703	圃
7F94	羔
658C	斌
968D	隍
557C	啼
68E0	棠
6D19	洙
58E9	壩
82DF	苟
5102	儂
6954	楔
812F	脯
8392	莒
77BB	瞻
5F46	彆
89B7	覷
5BB8	宸
54EE	哮
86C0	蛀
56D1	囑
8B5A	譚
5A25	娥
69E4	槤
664F	晏
6C76	汶
8123	脣
6D85	涅
69C3	槃
6DEC	淬
82DC	苜
7921	礡
5A6A	婪
6177	慷
905B	遛
71EE	燮
5FD0	忐
5FD1	忑
6829	栩
7487	璇
7F3D	缽
5F14	弔
55B3	喳
5471	呱
84FF	蓿
8700	蜀
8737	蜷
5195	冕
7C9F	粟
839E	莞
8FF8	迸
8C49	豉
9F66	齦
8C82	貂
7B71	筱
65FB	旻
6C3E	氾
9091	邑
968B	隋
655D	敝
63E3	揣
991E	餞
95A1	閡
916E	酮
6C72	汲
8559	蕙
74CF	瓏
75E3	痣
60D8	惘
7672	癲
828E	芎
984E	顎
7CDC	糜
5E5F	幟
7168	煨
819B	膛
9112	鄒
93E2	鏢
8548	蕈
718F	熏
55E1	嗡
64C2	擂
524C	剌
6689	暉
85F9	藹
6E20	渠
9E1A	鸚
9D61	鵡
7AC7	竇
7852	硒
88D8	裘
7405	琅
71DC	燜
82EF	苯
7281	犁
798E	禎
5958	奘
5B70	孰
8ECB	軋
68FB	棻
840D	萍
803F	耿
548E	咎
55D4	嗔
96CB	雋
6346	捆
6D31	洱
6CD3	泓
973E	霾
7444	瑄
6523	攣
923A	鈺
5162	兢
9698	隘
6E1D	渝
77D7	矗
7B4A	筊
542E	吮
747E	瑾
9871	顱
9A4A	驊
8A6C	詬
6996	榖
5E62	幢
7DDD	緝
4F83	侃
86FE	蛾
9041	遁
6EEC	滬
76F9	盹
83A2	莢
7459	瑙
8E35	踵
7DB8	綸
834A	荊
70B3	炳
6C8C	沌
837C	荼
6886	梆
5630	嘰
943A	鐺
58EC	壬
7E46	繆
9766	靦
6425	搥
8DCB	跋
4F7C	佼
59E3	姣
5490	咐
5636	嘶
8CEC	賬
8E7A	蹺
8146	腆
96C1	雁
56EA	囪
5676	噶
6DE4	淤
60B5	悵
7B8D	箍
6F29	漩
6F23	漣
86A3	蚣
8708	蜈
4FD8	俘
566C	噬
564E	噎
5EFF	廿
68A7	梧
962E	阮
64BB	撻
993E	餾
5777	坷
6E89	溉
8B4E	譎
67EC	柬
78CB	磋
8343	荃
6EC7	滇
7C84	粄
8A7C	詼
91C1	釁
93E4	鏤
93B3	鎳
8AA8	誨
7665	癥
9051	遑
5048	偈
8018	耘
6F2A	漪
70AF	炯
55E4	嗤
6BD3	毓
8F3B	輻
620E	戎
7FE9	翩
61F5	懵
71A8	熨
88F3	裳
7FCE	翎
9706	霆
5F9C	徜
975B	靛
749C	璜
612B	愫
75D9	痙
9249	鉉
622E	戮
7678	癸
8FE2	迢
5E37	帷
555C	啜
4F8F	侏
5F89	徉
7A79	穹
6631	昱
504E	偎
9463	鑣
5E1B	帛
8713	蜓
54AF	咯
4F96	侖
72E1	狡
5950	奐
7D0A	紊
978F	鞏
6753	杓
58DF	壟
7E5A	繚
95A8	閨
56C8	囈
7CE0	糠
7D91	綑
6F7A	潺
66E6	曦
6ED4	滔
9D72	鵲
7C07	簇
5A11	娑
970E	霎
90B5	邵
80ED	胭
7178	煸
7A88	窈
7A95	窕
53E1	叡
8E6D	蹭
8DE9	跩
5AFB	嫻
84D3	蓓
52DB	勛
7648	癈
72CE	狎
5BC7	寇
63C0	揀
7613	瘓
64D2	擒
5CD9	峙
8F45	轅
6144	慄
59E5	姥
6ADB	櫛
8A57	詗
4F6E	佮
4F6B	佫
9179	酹
56E1	囡
4EC4	仄
7428	琨
5AD6	嫖
9B4D	魍
9B4E	魎
830D	茍
72F7	狷
98BA	颺
6DFC	淼
846D	葭
5889	墉
776D	睭
9F10	鼐
923E	鈾
7C2B	簫
5DB8	嶸
6041	恁
566B	噫
8D04	贄
62F5	拵
7A19	稙
8006	耆
607F	恿
833C	茼
616B	慫
50E5	僥
807E	聾
739F	玟
939A	鎚
79B9	禹
8122	脢
9176	酶
5FFF	忿
87F3	蟳
8B74	譴
95A9	閩
9C54	鱔
821C	舜
7850	硐
660A	昊
5331	匱
748B	璋
550F	唏
54E7	哧
82AE	芮
6376	捶
5898	墘
60FA	惺
766C	癬
743A	琺
7E55	繕
5BE5	寥
562E	嘮
9DFA	鷺
7FCA	翊
9328	錨
938A	鎊
9D15	鴕
6493	撓
75C2	痂
8C8D	貍
6666	晦
5F99	徙
64F0	擰
5BF0	寰
571C	圜
54A8	咨
5DBD	嶽
9874	顴
62A8	抨
5277	剷
83C8	菈
6D93	涓
78BE	碾
50F1	僱
9594	閔
5B75	孵
6CEF	泯
6E44	湄
95A4	閤
5CD2	峒
795B	祛
60BC	悼
9951	饑
6371	捱
5544	啄
66B9	暹
8FAE	辮
4F91	侑
62C8	拈
7B19	笙
9DA9	鶩
8F46	轆
5486	咆
60CB	惋
7FF1	翱
5D87	嶇
5D11	崑
92BC	銼
7C5F	籟
908B	邋
86F9	蛹
83BD	莽
8A61	詡
9B22	鬢
6E73	湳
59BE	妾
54FD	哽
76B0	皰
868C	蚌
7B60	筠
8541	蕁
4E53	乓
53A5	厥
710A	焊
6CEB	泫
768E	皎
84BF	蒿
60C6	惆
8725	蜥
67B7	枷
5A13	娓
60B4	悴
8A36	訶
9AAF	骯
86AA	蚪
6615	昕
9E75	鹵
8019	耙
66B8	暸
9087	邇
6194	憔
8E63	蹣
90DD	郝
6026	怦
8E6C	蹬
7A1F	稟
533E	匾
6C85	沅
8E2E	踮
9C52	鱒
6C13	氓
60E6	惦
7620	瘠
9C7A	鱺
6345	捅
6684	暄
7441	瑁
6DEE	淮
5014	倔
792A	礪
8DC6	跆
6440	摀
7227	爧
6600	昀
6C2E	氮
605A	恚
6DE9	淩
874C	蝌
8DE4	跤
7FB6	羶
7325	猥
893B	褻
7316	猖
5429	吩
7525	甥
7827	砧
6840	桀
7166	煦
9D51	鵑
5345	卅
8734	蜴
7F9A	羚
4E9F	亟
56FF	囿
7490	璐
6096	悖
8706	蜆
8F1F	輟
6E63	湣
63AC	掬
7CB1	粱
8473	葳
75FE	痾
93DE	鏞
7FBF	羿
4F6F	佯
91AF	醯
8638	蘸
87AF	螯
8B4F	譏
9068	遨
875F	蝟
73C2	珂
811B	脛
70AC	炬
81CA	臊
5412	吒
765F	癟
678B	枋
8E4A	蹊
95CC	闌
9EDD	黝
95D5	闕
6F66	潦
8A92	誒
60BD	悽
7377	獷
81BE	膾
6C46	汆
77DC	矜
8B41	譁
619A	憚
8882	袂
6D63	浣
6C1F	氟
824B	艋
823A	舺
9776	靶
665F	晟
4F63	佣
965E	陞
6664	晤
6F90	澐
6518	攘
62BF	抿
6BD8	毘
552D	唭
947E	鑾
9C49	鱉
822B	舫
610D	愍
59CD	姍
6FE0	濠
5A9E	媞
5830	堰
8174	腴
9A65	驥
7E1D	縝
6939	椹
6043	恃
8869	衩
7825	砥
53DF	叟
792B	礫
643D	搽
9BE1	鯡
7830	砰
7CBC	粼
6FD8	濘
4E52	乒
5FEA	忪
6D79	浹
4FFE	俾
9B58	魘
9433	鐳
9F2F	鼯
53FC	叼
6C5E	汞
54AB	咫
80DB	胛
6A0A	樊
58FC	壼
6B83	殃
5B73	孳
70F7	烷
9AD6	髖
720C	爌
5608	嘈
9062	遢
6A47	橇
620C	戌
55B1	喱
95BB	閻
8831	蠱
8B04	謄
77BC	瞼
5600	嘀
9B60	魠
9157	酗
6059	恙
6C55	汕
7152	煒
8076	聶
6035	怵
98B3	颳
