9095	邕
8052	聒
5315	匕
9744	靄
5FE1	忡
9B7D	魽
4F09	伉
84C0	蓀
9F3E	鼾
7619	瘙
83C0	菀
92D0	鋐
9114	鄔
7252	牒
9211	鈑
9477	鑷
5F3C	弼
68F1	棱
846F	葯
8892	袒
8F0A	輊
8AC4	諄
500F	倏
9ED4	黔
5F08	弈
8E49	蹉
8DCE	跎
58AC	墬
92CC	鋌
62FD	拽
60BB	悻
80E4	胤
8222	舢
610E	愎
8A16	訖
75A5	疥
9088	邈
586D	塭
5599	喙
5940	奀
9C23	鰣
7360	獠
595A	奚
5E1A	帚
620D	戍
80B1	肱
973D	霽
65F3	旳
6FC2	濂
5CF4	峴
5660	噠
92AC	銬
92A8	銨
8028	耨
8964	襤
96C9	雉
5B7F	孿
8AEB	諫
5AFA	嫺
5879	塹
9A40	驀
9EE0	黠
73B7	玷
7B06	笆
83D8	菘
7BF3	篳
9C0D	鰍
543D	吽
8B22	謢
92C7	鋇
60BE	悾
51BC	冼
82F3	苳
84CA	蓊
8D0D	贍
5807	堇
7E94	纔
5FC9	忉
6D28	洨
8ED4	軔
8859	衙
8EFC	軼
8DBA	趺
7C2A	簪
52AD	劭
944A	鑊
695D	楝
958F	閏
61E8	懨
9321	錡
71FF	燿
769A	皚
8283	芃
576F	坯
68E3	棣
8EFE	軾
749F	璟
65CC	旌
89F4	觴
8188	膈
69FF	槿
6DB7	涷
608C	悌
75A3	疣
7E20	縠
9DC2	鷂
80E5	胥
919A	醚
828A	芊
606A	恪
65C2	旂
886A	衪
5F12	弒
61DF	懟
566F	噯
6EB4	溴
58D1	壑
7C95	粕
799A	禚
6B84	殄
83CF	菏
5B5A	孚
7E82	纂
9997	馗
931A	錚
7957	祗
8888	袈
6C93	沓
64E3	擣
9F2C	鼬
99B1	馱
6E24	渤
54CF	哏
6555	敕
9D98	鶘
5658	噘
7CB3	粳
5665	噥
80DD	胝
91B1	醱
60FB	惻
8C85	貅
7DB7	綷
7843	硃
89E9	觩
5AE6	嫦
5B34	嬴
82A9	芩
87E0	蟠
5639	嘹
8C94	貔
971D	霝
69ED	槭
742C	琬
6EF8	滸
6482	撂
62C4	拄
8A46	詆
981C	頜
88E8	裨
7F61	罡
9182	醂
6443	摃
6BFC	毼
4F57	佗
8A8F	誏
7A1E	稞
669D	暝
7D2C	紬
837D	荽
509A	傚
70D4	烔
8941	襁
5A62	婢
8CC2	賂
8E82	躂
8E2B	踫
8E04	踄
7967	祧
8118	脘
927E	鉾
9D2F	鴯
6B7F	歿
821B	舛
8B6D	譭
8EFB	軻
57C2	埂
81FE	臾
59B2	妲
74BF	璿
7120	焠
5C63	屣
5B2A	嬪
7C0C	簌
750C	甌
5191	冑
7095	炕
53F5	叵
9BE4	鯤
58D5	壕
99D1	駑
66C4	曄
5D3D	崽
6FF0	濰
82AB	芫
8A54	詔
6CD7	泗
615F	慟
5138	儸
76B8	皸
7D5C	絜
6C33	氳
7BF8	篸
7E8D	纍
70B7	炷
86DF	蛟
9D60	鵠
97C1	韁
7D15	紕
6ADF	櫟
8E31	踱
6266	扦
9074	遴
6C24	氤
83D6	菖
9B18	鬘
6F33	漳
5B0B	嬋
72A1	犡
884A	衊
5FD6	忖
5189	冉
6BAE	殮
8938	褸
8E60	蹠
6D6C	浬
5B40	孀
7060	灠
755A	畚
93A2	鎢
7627	瘧
690B	椋
8E8B	躋
71EC	燬
6382	掂
9F72	齲
861A	蘚
4F76	佶
5AE1	嫡
6F7C	潼
4F77	佷
5A0C	娌
6DE6	淦
7670	癰
55D2	嗒
794F	祏
6265	扥
5B6C	孬
527D	剽
5A6D	婭
9C58	鱘
8811	蠑
5501	唁
6A90	檐
5A9C	媜
7E93	纓
9419	鐙
7610	瘐
56EB	囫
5707	圇
8545	蕅
729B	犛
8DCF	跏
5F4A	彊
5043	偃
87C5	蟅
509C	傜
5659	噙
79B3	禳
799B	禛
9B51	魑
672E	朮
7ABF	窿
9335	錵
737E	獾
705D	灝
5FD2	忒
8956	襖
7386	玆
6938	椸
7489	璉
8D6D	赭
7D80	綀
5C2A	尪
56F9	囹
5704	圄
6DC5	淅
8E30	踰
5E44	幄
834F	荏
6792	枒
65D6	旖
558F	喏
9F5C	齜
8A10	訐
9BF0	鯰
6FEC	濬
59AF	妯
737A	獺
