8FCB	迋
34E4	㓤
35AD	㖭
35CE	㗎
35FE	㗾
3A18	㨘
3DEB	㷫
406A	䁪
44EA	䓪
4C7D	䱽
4E78	乸
519A	冚
51A7	冧
528F	劏
5414	吔
5497	咗
54CB	哋
5513	唓
551E	唞
5569	啩
556B	啫
5571	啱
5572	啲
55BA	喺
55BC	喼
55F0	嗰
55F1	嗱
5605	嘅
5622	嘢
5625	嘥
5643	噃
564F	噏
5689	嚉
569F	嚟
56BF	嚿
57D7	埗
5AF2	嫲
5B6D	孭
62C3	拃
63B9	掹
63FC	揼
6432	搲
64DD	擝
651E	攞
6530	攰
66F1	曱
6767	杧
6898	梘
6C39	氹
71F6	燶
7534	甴
7666	癦
7793	瞓
77CB	矋
7CC9	糉
8137	脷
81B6	膶
8534	蔴
8786	螆
88C7	裇
8E0E	踎
8E2D	踭
8E80	躀
8EDA	軚
922A	鈪
9938	餸
9C02	鰂
9C72	鱲
20779	𠝹
20C41	𠱁
20E9D	𠺝
20EA2	𠺢
210C1	𡃁
22B43	𢭃
22BCA	𢯊
22C55	𢱕
22D4C	𢵌
244D3	𤓓
24DEA	𤷪
2512B	𥄫
267CC	𦟌
269FA	𦧺
2815D	𨅝
282E2	𨋢
29D98	𩶘
3A52	㩒
3B39	㬹
4882	䢂
67B1	枱
6AC8	櫈
6ED9	滙
7CED	糭
80B6	肶
9385	鎅
20EF9	𠻹
2107B	𡁻
28207	𨈇
35A1	㖡
35BF	㖿
39EC	㧬
3E74	㹴
544D	呍
5493	咓
5502	唂
55D7	嗗
55DE	嗞
56A1	嚡
57DE	埞
62A6	抦
63E6	揦
7140	煀
7341	獁
7374	獴
777A	睺
7F97	羗
87CE	蟎
8804	蠄
8E7E	蹾
9208	鈈
95AA	閪
9B8B	鮋
9BED	鯭
9EAF	麯
20C78	𠱸
20C96	𠲖
20CCF	𠳏
20DA7	𠶧
20E76	𠹶
20F2D	𠼭
20F4C	𠽌
20FEA	𠿪
2105C	𡁜
21145	𡅅
220C7	𢃇
22C62	𢱢
22CC2	𢳂
22D67	𢵧
23CB7	𣲷
24DB8	𤶸
24EA7	𤺧
25148	𥅈
25E49	𥹉
26258	𦉘
269F2	𦧲
28CCA	𨳊
28CCD	𨳍
28CD2	𨳒
28D99	𨶙
294E5	𩓥
5861	塡
59F8	姸
5A7E	婾
63FE	揾
654E	敎
7602	瘂
7758	睘
784F	硏
8117	脗
85F4	藴
9196	醖
9427	鐧
9751	靑
985A	顚
2197C	𡥼
22C51	𢱑
34DF	㓟
362D	㘭
39FE	㧾
3A57	㩗
3A67	㩧
3DDB	㷛
40DF	䃟
43E1	䏡
43F2	䏲
44DB	䓛
44DD	䓝
44EC	䓬
4989	䦉
4C33	䰳
4C5B	䱛
4C81	䲁
4C97	䲗
4CCD	䳍
4D08	䴈
4D09	䴉
4E6A	乪
510D	儍
51DF	凟
51F4	凴
5226	刦
53FE	叾
5525	唥
5579	啹
5590	喐
5652	噒
565D	噝
5692	嚒
56A4	嚤
56B1	嚱
56B9	嚹
