5B66	学
4F1A	会
9EC4	黄
56FD	国
6570	数
58F0	声
663C	昼
70B9	点
5F53	当
5185	内
9EA6	麦
6765	来
533B	医
6A2A	横
6E29	温
533A	区
53F7	号
5199	写
793C	礼
5F84	径
53C2	参
6B8B	残
8F9E	辞
9759	静
6D45	浅
4E89	争
706F	灯
65E7	旧
6761	条
72B6	状
7A0E	税
5C5E	属
65AD	断
72EC	独
5C06	将
88C5	装
5C4A	届
4E71	乱
79F0	称
811A	脚
6D5C	浜
6CA1	没
732E	献
5F66	彦
604B	恋
6E7E	湾
5965	奥
643A	携
8131	脱
6B27	欧
6F5C	潜
53CC	双
5BFF	寿
5F25	弥
8A89	誉
76D7	盗
72ED	狭
5374	却
732B	猫
5BDD	寝
7984	禄
968F	随
6EDE	滞
664B	晋
5CE1	峡
5C3D	尽
82A6	芦
732A	猪
53D9	叙
52B1	励
7985	禅
631F	挟
4FE3	俣
865A	虚
7089	炉
6E7F	湿
60E7	惧
697C	楼
67A2	枢
9065	遥
58EE	壮
8DF5	践
53A9	厩
60A6	悦
830E	茎
80C6	胆
60E8	惨
5265	剥
6BB4	殴
5618	嘘
4E98	亘
63B4	掴
5815	堕
4FA0	侠
848B	蒋
51DB	凛
86EE	蛮
5631	嘱
53A8	厨
783A	砺
7977	祷
83B1	莱
7962	祢
5239	刹
6867	桧
7A83	窃
85C1	藁
5C61	屡
7BAA	箪
629B	抛
51ED	凭
8EAF	躯
8749	蝉
70DF	烟
788D	碍
6CEA	泪
51C9	凉
518C	册
8FF9	迹
54A4	咤
803B	耻
7726	眦
548F	咏
75B1	疱
86CE	蛎
6D9B	涛
8FE9	迩
85AE	薮
4E2A	个
4ECE	从
506C	偬
51B3	决
51B5	况
53A6	厦
53AE	厮
68A6	梦
5E7A	幺
5E7F	广
5F03	弃
5F11	弑
5F2F	弯
65E0	无
6863	档
6901	椁
8616	蘖
6E0A	渊
6F74	潴
72B9	犹
7476	瑶
7574	畴
75C3	痃
76D6	盖
7980	禀
7B0B	笋
7B5D	筝
7CA4	粤
7CAE	粮
8109	脉
8385	莅
96B6	隶
97B4	鞴
97F5	韵
9EB8	麸
6C17	気
7D75	絵
697D	楽
9854	顔
5E30	帰
6238	戸
5E83	広
9ED2	黒
59C9	姉
56F3	図
8AAD	読
58F2	売
6B69	歩
6BCE	毎
60AA	悪
99C5	駅
8EFD	軽
770C	県
6B6F	歯
5B9F	実
4E57	乗
5BFE	対
8EE2	転
7551	畑
767A	発
6C37	氷
85AC	薬
69D8	様
4E21	両
7DD1	緑
56F2	囲
6804	栄
899A	覚
95A2	関
89B3	観
6319	挙
9A13	験
7523	産
5150	児
713C	焼
8AAC	説
