7684	的
4E00	一
5728	在
6709	有
4E0D	不
4E86	了
662F	是
4EBA	人
5927	大
4E0A	上
4E2D	中
6642	時
4F86	來
751F	生
5730	地
9019	這
7528	用
51FA	出
6703	會
570B	國
4E0B	下
5230	到
904E	過
5E74	年
5206	分
5C0D	對
884C	行
6210	成
5F8C	後
9762	面
70BA	為
5BB6	家
5B50	子
5F97	得
548C	和
6C34	水
597D	好
5DE5	工
5B9A	定
5B78	學
767C	發
4E09	三
4F5C	作
8D77	起
65E5	日
7121	無
5C31	就
52D5	動
7576	當
5FC3	心
500B	個
8981	要
5929	天
53BB	去
958B	開
81EA	自
4EE5	以
7D93	經
4E8B	事
76F8	相
982D	頭
7406	理
6CD5	法
9577	長
516C	公
7B49	等
53EF	可
6C23	氣
7A2E	種
672C	本
5BE6	實
91CD	重
624B	手
5341	十
540C	同
6240	所
8001	老
7269	物
524D	前
6B63	正
505A	做
529B	力
5169	兩
5C0F	小
9593	間
5916	外
96FB	電
8DEF	路
4E3B	主
660E	明
60C5	情
65B9	方
610F	意
770B	看
77E5	知
4F7F	使
56DB	四
8EAB	身
98DF	食
8A71	話
4EE3	代
901A	通
6708	月
591A	多
5C71	山
5E73	平
98A8	風
9580	門
8ECA	車
843D	落
82B1	花
9EDE	點
5148	先
60F3	想
8457	著
9AD8	高
6587	文
6027	性
7136	然
76EE	目
7D50	結
5408	合
5165	入
653E	放
52A0	加
547D	命
8072	聲
53E3	口
6B7B	死
6578	數
898B	見
6A5F	機
8B8A	變
9AD4	體
61C9	應
8D70	走
7D30	細
767D	白
91D1	金
9322	錢
8F49	轉
540D	名
8272	色
706B	火
6D41	流
6D77	海
4F4D	位
4E8C	二
611B	愛
795E	神
5168	全
5EA6	度
6E05	清
696D	業
689D	條
7A7A	空
4E16	世
771F	真
73FE	現
76F4	直
5149	光
4EA4	交
6559	教
5167	內
5B89	安
89E3	解
897F	西
5C11	少
90FD	都
9032	進
534A	半
99AC	馬
4E94	五
7B97	算
842C	萬
53CD	反
6A23	樣
7522	產
6C11	民
91CF	量
8B1B	講
6536	收
95DC	關
5316	化
9053	道
539F	原
8A08	計
554F	問
5225	別
6BD4	比
963F	阿
90E8	部
89AA	親
7BC0	節
7FA9	義
767E	百
4FE1	信
5834	場
5931	失
4E5F	也
5B57	字
71B1	熱
624D	才
9084	還
7DDA	線
9023	連
679C	果
9152	酒
8868	表
5229	利
7DCA	緊
5E38	常
55AE	單
7B11	笑
6307	指
80FD	能
82E6	苦
7D05	紅
4FDD	保
4F60	你
6253	打
8A18	記
807D	聽
75C5	病
98EF	飯
53D7	受
77F3	石
5F71	影
7E3D	總
5171	共
6771	東
63A5	接
96E3	難
611F	感
65E9	早
5831	報
904B	運
89D2	角
7BA1	管
96E8	雨
5012	倒
52E2	勢
516B	八
5305	包
76AE	皮
5BA2	客
63D0	提
66F8	書
8089	肉
9B5A	魚
5982	如
5F35	張
5E2B	師
8F03	較
5F37	強
5E95	底
5E36	帶
6211	我
5C3E	尾
8349	草
5B98	官
671B	望
