5EF3	廳
65AF	斯
6DFA	淺
6163	慣
67D3	染
731B	猛
7AEF	端
5EB7	康
7E2B	縫
907F	避
5C48	屈
5B97	宗
8AC7	談
9EB5	麵
758F	疏
6F0F	漏
8C50	豐
4ED8	付
7E23	縣
9732	露
584A	塊
5371	危
5EA7	座
6E9C	溜
4F34	伴
65BC	於
6182	憂
8DE1	跡
723E	爾
818F	膏
65C5	旅
6B77	歷
5F92	徒
86C7	蛇
8DA3	趣
66B4	暴
6B20	欠
805E	聞
56F0	困
5FE0	忠
9003	逃
795D	祝
8271	艱
60F1	惱
9B06	鬆
6CE1	泡
6CE2	波
8108	脈
8CAA	貪
5B9C	宜
96F2	雲
9A19	騙
5687	嚇
7626	瘦
649E	撞
7B52	筒
9285	銅
6BB5	段
80E1	胡
4F9D	依
59D4	委
5E78	幸
5347	升
6838	核
6597	斗
8FAD	辭
5C0B	尋
5857	塗
5EE3	廣
6B64	此
8CDE	賞
60F9	惹
7D44	組
8CF4	賴
796D	祭
6E56	湖
8CA7	貧
92EA	鋪
7A69	穩
901F	速
7687	皇
9B42	魂
9673	陳
58DE	壞
8A8C	誌
5883	境
559D	喝
92B7	銷
7334	猴
5145	充
7F8A	羊
5409	吉
9B1A	鬚
91D8	釘
53E6	另
56FA	固
9910	餐
7A81	突
80AF	肯
7210	爐
6297	抗
7092	炒
7D17	紗
6B3A	欺
5949	奉
5287	劇
7236	父
9047	遇
7CCA	糊
6B6A	歪
62C6	拆
5EF6	延
986F	顯
8150	腐
512A	優
5BA3	宣
5DE6	左
7FA4	群
5978	奸
6158	慘
4F8B	例
6C5F	江
6DE8	淨
68C4	棄
7BAD	箭
5922	夢
6CC9	泉
5920	夠
7246	牆
64A5	撥
9BAE	鮮
5211	刑
5EE2	廢
99DB	駛
82B3	芳
5751	坑
95CA	闊
88C2	裂
7F70	罰
517C	兼
7434	琴
6B98	殘
9E79	鹹
68C9	棉
4EC7	仇
518A	冊
6101	愁
59BB	妻
51E1	凡
5446	呆
6751	村
904D	遍
6311	挑
969B	際
907A	遺
7A31	稱
8667	虧
62DA	拚
62CB	拋
6628	昨
8A34	訴
7709	眉
87BA	螺
73CD	珍
5C0E	導
8A73	詳
5DDD	川
63A1	採
6280	技
8352	荒
7E2E	縮
4E5E	乞
