6A94	檔
4E11	丑
8D66	赦
76EA	盪
53E8	叨
7AAF	窯
814E	腎
6F20	漠
67FF	柿
82DB	苛
8650	虐
7D46	絆
6746	杆
6749	杉
7FD5	翕
9080	邀
76DE	盞
77AA	瞪
6452	摒
72F8	狸
5BE8	寨
7621	瘡
9C57	鱗
5C46	屆
6817	栗
6E3A	渺
69CC	槌
634F	捏
7728	眨
81D8	臘
9D26	鴦
55FD	嗽
9D5D	鵝
4FD0	俐
6C83	沃
8302	茂
7A57	穗
8AFE	諾
8200	舀
8105	脅
7940	祀
9675	陵
9F63	齣
7A3D	稽
62ED	拭
95BB	閻
827E	艾
52DF	募
789F	碟
704C	灌
75FA	痺
4F36	伶
56C9	囉
8E5F	蹟
7FB9	羹
7F3D	缽
6380	掀
8461	葡
6C9B	沛
7D9C	綜
5679	噹
7F54	罔
85A6	薦
6DD8	淘
986B	顫
6C92	沒
5962	奢
78D5	磕
79AA	禪
8D99	趙
8404	萄
557E	啾
72E1	狡
7DFB	緻
934B	鍋
71C3	燃
9AD3	髓
5431	吱
6EBC	溼
6EA2	溢
9177	酷
5BE2	寢
56DA	囚
9175	酵
7261	牡
5490	咐
5339	匹
764C	癌
81CD	臍
6F66	潦
8E29	踩
662D	昭
5B75	孵
83C1	菁
8B0E	謎
7B8D	箍
6DD1	淑
64D8	擘
68D7	棗
7737	眷
99B4	馴
8475	葵
59BE	妾
65AC	斬
984F	顏
81C9	臉
63C9	揉
6208	戈
60F0	惰
6649	晉
7A1F	稟
83CA	菊
75AB	疫
82AC	芬
8DDB	跛
647B	摻
54A7	咧
4F75	併
79E7	秧
8679	虹
6493	撓
7C37	簷
4FAE	侮
80DA	胚
674F	杏
901E	逞
7FA8	羨
7515	甕
75A4	疤
58D8	壘
5509	唉
7827	砧
6BEF	毯
6C1B	氛
57A2	垢
53E9	叩
5733	圳
5104	億
6CC4	泄
97CC	韌
7BD9	篙
83E9	菩
68D5	棕
6514	攔
6CAB	沫
537B	卻
6CE5	泥
6467	摧
6015	怕
8A23	訣
9318	錘
8C6A	豪
77AD	瞭
625B	扛
8FAF	辯
665A	晚
7669	癩
5429	吩
92E4	鋤
9278	鉸
947F	鑿
5029	倩
7E69	繩
7761	睡
6627	昧
8019	耙
7070	灰
54FD	哽
88D5	裕
53F0	台
9BC9	鯉
807E	聾
7DE0	締
5598	喘
60BD	悽
6399	掙
8AA3	誣
717D	煽
6016	怖
50E5	僥
7CE0	糠
5F59	彙
7E43	繃
