5556	啖
7422	琢
76CE	盎
64BF	撿
67CF	柏
95B9	閹
6085	悅
980C	頌
62D9	拙
8514	蔔
62F1	拱
8303	范
695E	楞
7E6D	繭
5B8F	宏
5EFF	廿
54C7	哇
5FB9	徹
6070	恰
6577	敷
55E4	嗤
52C3	勃
5321	匡
908F	邏
8FEA	迪
8247	艇
92B3	銳
4E4D	乍
7DEF	緯
7235	爵
5F1B	弛
4F43	佃
863F	蘿
6582	斂
74E4	瓤
8235	舵
5C94	岔
8F1B	輛
5BA6	宦
9AEE	髮
7BE6	篦
96CC	雌
5E1A	帚
8E8A	躊
6FDB	濛
5D16	崖
673D	朽
64B0	撰
9038	逸
8E87	躇
6427	搧
665F	晟
5937	夷
7FC5	翅
5478	呸
7CB9	粹
8AF7	諷
6E3E	渾
8309	茉
533F	匿
5288	劈
81C6	臆
5075	偵
8836	蠶
50E7	僧
6CCC	泌
9214	鈔
5121	儡
4FE0	俠
551A	唚
8EB2	躲
6ED4	滔
4E91	云
5A3C	娼
7838	砸
9081	邁
5E4C	幌
5484	咄
778C	瞌
8C82	貂
7D10	紐
67B8	枸
537F	卿
5FA1	御
964C	陌
669D	暝
6854	桔
5997	妗
4EC0	什
9912	餒
55A7	喧
51FD	函
88D4	裔
4F6C	佬
7199	熙
504C	偌
5043	偃
627C	扼
4FFA	俺
7A84	窄
79E9	秩
5F27	弧
83F2	菲
9A45	驅
53A5	厥
8A60	詠
7FF0	翰
5436	吶
780C	砌
5E25	帥
9BFD	鯽
4F50	佐
6F2C	漬
67AF	枯
78FA	磺
8A1F	訟
68AD	梭
50D5	僕
64E2	擢
8654	虔
6B55	歕
95D4	闔
5FFF	忿
9365	鍥
75E2	痢
66F0	曰
8C6B	豫
8671	虱
750C	甌
70F9	烹
82DF	苟
60DF	惟
66FC	曼
6D66	浦
6109	愉
6A61	橡
9812	頒
6EC2	滂
6EC7	滇
7CB5	粵
63EA	揪
5565	啥
8EAC	躬
7DB9	綹
679A	枚
51DC	凜
642A	搪
6D3D	洽
91AE	醮
7D79	絹
54B8	咸
615A	慚
622E	戮
75E7	痧
6064	恤
84C9	蓉
9B4F	魏
907C	遼
5C62	屢
6F29	漩
9830	頰
9BCA	鯊
5C38	尸
86A4	蚤
70E4	烤
78BE	碾
853D	蔽
7130	焰
560E	嘎
77EF	矯
5632	嘲
6B83	殃
90ED	郭
522A	刪
8ED2	軒
9B2E	鬮
8722	蜢
6FB9	澹
5630	嘰
5EC1	廁
8E76	蹶
921E	鈞
5824	堤
84B2	蒲
8CC4	賄
8E4A	蹊
640F	搏
618E	憎
6977	楷
74CA	瓊
4FEF	俯
52FA	勺
5115	儕
