6B67	歧
8084	肄
7CF0	糰
9871	顱
7AA3	窣
5F07	弇
8B14	謔
9821	頡
651C	攜
6248	扈
7109	焉
7FE1	翡
9870	顰
8822	蠢
7540	畀
9C31	鰱
6CB8	沸
5A29	娩
6734	朴
8760	蝠
9E1A	鸚
8D6B	赫
6147	慇
752C	甬
9761	靡
811B	脛
83E0	菠
8B2C	謬
943A	鐺
8568	蕨
54C4	哄
62CA	拊
9839	頹
93E4	鏤
88DF	裟
8888	袈
54BD	咽
76B4	皴
64C5	擅
9017	逗
55AB	喫
87BB	螻
6504	攄
602B	怫
6EEC	滬
8759	蝙
51CA	凊
6417	搗
6960	楠
8910	褐
832D	茭
632B	挫
95D6	闖
5256	剖
7CB3	粳
67E9	柩
5693	嚓
9A5F	驟
6084	悄
76C5	盅
7172	煲
7117	焗
77E2	矢
5A03	娃
5563	啣
6DAF	涯
6775	杵
7FB2	羲
5EDD	廝
6B4E	歎
524C	剌
66B1	暱
59DC	姜
6D93	涓
7529	甩
5482	咂
6ADE	櫞
8CC8	賈
6FC2	濂
9AE1	髡
5223	刣
7396	玖
854E	蕎
5EBE	庾
5A49	婉
7C91	粑
8706	蜆
50F5	僵
7459	瑙
5D3D	崽
649F	撟
7DBD	綽
60BE	悾
7B71	筱
787C	硼
5C2A	尪
840C	萌
58AE	墮
77AC	瞬
8006	耆
88E8	裨
59D8	姘
5E5B	幛
6042	恂
524E	剎
4FB6	侶
6F2F	漯
8B0A	謊
71FB	燻
5203	刃
9846	顆
775C	睜
621F	戟
97CB	韋
9914	餔
7779	睹
8331	茱
772F	眯
7E45	繅
4E2B	丫
887F	衿
6475	摵
7FD4	翔
64D7	擗
905C	遜
6600	昀
9C77	鱷
7AC4	竄
604D	恍
9F94	龔
85E9	藩
780D	砍
5501	唁
85FB	藻
7C0D	簍
528C	劌
908B	邋
5480	咀
6495	撕
73DE	珞
73EE	珮
58E4	壤
8AED	諭
77A7	瞧
562F	嘯
6518	攘
69E4	槤
8AB9	誹
6A01	樁
4FCF	俏
707C	灼
54A6	咦
8A1D	訝
5B09	嬉
8F4D	轍
5E57	幗
77BB	瞻
594E	奎
7587	疇
895E	襞
5A1C	娜
5610	嘐
572D	圭
9C54	鱔
7AB8	窸
7DBA	綺
6482	撂
6871	桱
5140	兀
6C2F	氯
860A	蘊
89F3	觳
566C	噬
92C1	鋁
9AD2	髒
60FA	惺
64DB	擛
5671	噱
7FE9	翩
6B39	欹
6A5B	橛
608D	悍
60DD	惝
856A	蕪
6F72	潲
6E44	湄
9432	鐲
80A8	肨
6ECC	滌
6021	怡
88D2	裒
7C50	籐
935B	鍛
82E7	苧
880D	蠍
6A1E	樞
6266	扦
632A	挪
79EB	秫
7006	瀆
965D	陝
85BA	薺
71C4	燄
99FF	駿
60D5	惕
5BE5	寥
5944	奄
5162	兢
548D	咍
5F17	弗
851A	蔚
553E	唾
9709	霉
95CC	闌
8EBA	躺
865C	虜
8DCD	跍
701F	瀟
81E2	臢
7F68	罨
711C	焜
92B2	銲
8FC2	迂
66F3	曳
6A11	樑
8098	肘
6C5D	汝
9A2B	騫
7FDF	翟
5018	倘
5F77	彷
5695	嚕
70B3	炳
871E	蜞
5106	儆
85B8	薸
6670	晰
55DC	嗜
548E	咎
6748	杈
56F9	囹
5550	啐
8435	萵
50AD	傭
6C61	污
5E37	帷
88FE	裾
7DB8	綸
6B36	欶
6B89	殉
5195	冕
5636	嘶
808B	肋
962A	阪
96DB	雛
8E35	踵
8A6C	詬
8438	萸
56B6	嚶
9D6C	鵬
6014	怔
61E6	懦
6F86	澆
8E6D	蹭
8C55	豕
776A	睪
60A8	您
8F46	轆
95E1	闡
868C	蚌
57A3	垣
5D22	崢
7329	猩
5401	吁
6CAE	沮
99A8	馨
71D0	燐
9B45	魅
8D05	贅
6966	楦
5564	啤
8A1B	訛
6479	摹
686E	桮
55D3	嗓
5DCD	巍
8DD4	跔
85F9	藹
4EDF	仟
8594	薔
7E79	繹
9BEA	鯪
655E	敞
852B	蔫
5AA0	媠
6BFD	毽
5F8A	徊
9C13	鰓
758B	疋
63D6	揖
7947	祇
63E4	揤
6841	桁
968B	隋
8DE3	跣
6460	摠
9EDB	黛
6816	栖
6063	恣
