34DF	㓟
34E4	㓤
35A1	㖡
35AD	㖭
35BF	㖿
35CE	㗎
35FE	㗾
362D	㘭
39EC	㧬
39FE	㧾
3A18	㨘
3A52	㩒
3A57	㩗
3A67	㩧
3B39	㬹
3DDB	㷛
3DEB	㷫
3E74	㹴
406A	䁪
40DF	䃟
4180	䆀
44EA	䓪
4989	䦉
4C7D	䱽
4E00	一
4E01	丁
4E03	七
4E07	万
4E08	丈
4E09	三
4E0A	上
4E0B	下
4E0D	不
4E0E	与
4E10	丐
4E11	丑
4E14	且
4E15	丕
4E16	世
4E18	丘
4E19	丙
4E1E	丞
4E1F	丟
4E21	両
4E26	並
4E2B	丫
4E2D	中
4E30	丰
4E32	串
4E38	丸
4E39	丹
4E3B	主
4E3C	丼
4E42	乂
4E43	乃
4E45	久
4E48	么
4E4B	之
4E4D	乍
4E4E	乎
4E4F	乏
4E52	乒
4E53	乓
4E56	乖
4E58	乘
4E59	乙
4E5C	乜
4E5D	九
4E5E	乞
4E5F	也
4E69	乩
4E6A	乪
4E73	乳
4E78	乸
4E7E	乾
4E82	亂
4E86	了
4E88	予
4E8B	事
4E8C	二
4E8E	于
4E91	云
4E92	互
4E93	亓
4E94	五
4E95	井
4E99	亙
4E9B	些
4E9E	亞
4E9F	亟
4EA1	亡
4EA2	亢
4EA4	交
4EA5	亥
4EA6	亦
4EA8	亨
4EAB	享
4EAC	京
4EAD	亭
4EAE	亮
4EB3	亳
4EBA	人
4EC0	什
4EC1	仁
4EC3	仃
4EC4	仄
4EC6	仆
4EC7	仇
4EC9	仉
4ECA	今
4ECB	介
4ECD	仍
4ED4	仔
4ED5	仕
4ED6	他
4ED7	仗
4ED8	付
4ED9	仙
4EDD	仝
4EDE	仞
4EDF	仟
4EE3	代
4EE4	令
4EE5	以
4EE8	仨
4EF0	仰
4EF2	仲
4EF3	仳
4EF6	件
4EF7	价
4EFB	任
4EFD	份
4EFF	仿
4F01	企
4F09	伉
4F0A	伊
4F0D	伍
4F0E	伎
4F0F	伏
4F10	伐
4F11	休
4F15	伕
4F17	众
4F18	优
4F19	伙
4F1A	会
4F1D	伝
4F2F	伯
4F30	估
4F34	伴
4F36	伶
4F38	伸
4F3A	伺
4F3C	似
4F3D	伽
4F43	佃
4F46	但
4F47	佇
4F48	佈
4F4D	位
4F4E	低
4F4F	住
4F50	佐
4F51	佑
4F53	体
4F54	佔
4F55	何
4F57	佗
4F58	佘
4F59	余
4F5A	佚
4F5B	佛
4F5C	作
4F5D	佝
4F5E	佞
4F5F	佟
4F60	你
4F62	佢
4F63	佣
4F67	佧
4F69	佩
4F6A	佪
4F6C	佬
4F6E	佮
4F6F	佯
4F70	佰
4F73	佳
4F75	併
4F76	佶
4F77	佷
4F7B	佻
4F7C	佼
4F7E	佾
4F7F	使
4F83	侃
4F84	侄
4F86	來
4F88	侈
4F89	侉
4F8B	例
4F8D	侍
4F8F	侏
4F91	侑
4F94	侔
4F96	侖
4F97	侗
4F98	侘
4F9B	供
4F9D	依
4FAE	侮
4FAF	侯
4FB5	侵
4FB6	侶
4FB7	侷
4FBF	便
4FC1	俁
4FC2	係
4FC3	促
4FC4	俄
4FCA	俊
4FCE	俎
4FCF	俏
4FD0	俐
4FD1	俑
4FD3	俓
4FD7	俗
4FD8	俘
4FDA	俚
4FDD	保
4FDE	俞
4FDF	俟
4FE0	俠
4FE1	信
4FE5	俥
4FEC	俬
4FEE	修
4FEF	俯
4FF1	俱
4FF3	俳
4FF5	俵
4FF6	俶
4FF8	俸
4FFA	俺
4FFE	俾
5000	倀
5006	倆
5009	倉
500B	個
500C	倌
500D	倍
500F	倏
5011	們
5012	倒
5013	倓
5014	倔
5016	倖
5018	倘
5019	候
501A	倚
501C	倜
501F	借
5021	倡
5022	倢
5023	倣
5025	倥
5026	倦
5028	倨
5029	倩
502A	倪
502B	倫
502C	倬
502D	倭
503C	值
5041	偁
5043	偃
5047	假
5048	偈
5049	偉
504C	偌
504E	偎
504F	偏
5055	偕
505A	做
505C	停
505F	偟
5065	健
5072	偲
5074	側
5075	偵
5076	偶
5077	偷
507D	偽
5080	傀
5085	傅
508C	傌
508D	傍
5091	傑
5098	傘
5099	備
509A	傚
509C	傜
50A2	傢
50A3	傣
50AC	催
50AD	傭
50AF	傯
50B2	傲
50B3	傳
50B4	傴
50B5	債
50B7	傷
50BB	傻
50BE	傾
50C2	僂
50C5	僅
50CD	働
50CE	僎
50CF	像
50D1	僑
50D5	僕
50D6	僖
50DA	僚
50E5	僥
50E6	僦
50E7	僧
50ED	僭
50EE	僮
50F1	僱
50F5	僵
50F9	價
50FB	僻
5100	儀
5102	儂
5104	億
5106	儆
5108	儈
5109	儉
5110	儐
5112	儒
5114	儔
5115	儕
5118	儘
511F	償
5121	儡
512A	優
5131	儱
5132	儲
5137	儷
5138	儸
513A	儺
513B	儻
513C	儼
513F	儿
5140	兀
5141	允
5143	元
5144	兄
5145	充
5146	兆
5147	兇
5148	先
5149	光
514B	克
514C	兌
514D	免
5152	兒
5154	兔
