5E02	市
7E23	縣
5340	區
8DEF	路
8857	街
4E2D	中
6771	東
5357	南
96C4	雄
5317	北
81FA	臺
5712	園
9109	鄉
65B0	新
5316	化
6797	林
93AE	鎮
9AD8	高
7AF9	竹
6843	桃
5927	大
5C71	山
7FA9	義
862D	蘭
84EE	蓮
5F70	彰
4E09	三
5C4F	屏
4E8C	二
6817	栗
4E00	一
6295	投
8208	興
5B89	安
897F	西
96F2	雲
6C11	民
82B1	花
5B9C	宜
4EC1	仁
5E73	平
548C	和
6E56	湖
5FB7	德
5609	嘉
6E2F	港
82D7	苗
91CC	里
4E94	五
57D4	埔
516D	六
6C38	永
5C6F	屯
798F	福
83EF	華
6587	文
6C34	水
6EAA	溪
5341	十
5149	光
8C50	豐
5BEE	寮
9F8D	龍
516B	八
91D1	金
9CF3	鳳
58E2	壢
660E	明
6B63	正
982D	頭
9686	隆
57CE	城
7F8E	美
6597	斗
56DB	四
5409	吉
524D	前
5DDE	州
4E03	七
592A	太
9E7F	鹿
7530	田
53E3	口
6210	成
5FE0	忠
9580	門
9577	長
6B66	武
5DE5	工
570B	國
71DF	營
5BCC	富
611B	愛
516C	公
660C	昌
842C	萬
5167	內
5FA9	復
6F6D	潭
5EFA	建
4FE1	信
5B50	子
751F	生
6A4B	橋
5C0F	小
6A39	樹
96C5	雅
5EB7	康
4E5D	九
51AC	冬
54E1	員
677E	松
745E	瑞
6893	梓
5C3E	尾
9802	頂
5CA1	岡
6E05	清
7532	甲
6D77	海
6960	楠
5DF7	巷
6C99	沙
529F	功
6885	梅
661F	星
81EA	自
5B78	學
9F9C	龜
69AE	榮
540C	同
8606	蘆
89C0	觀
5751	坑
696D	業
4FDD	保
793E	社
5B5D	孝
5D19	崙
6CF0	泰
6A02	樂
97F3	音
7965	祥
57FA	基
58FD	壽
838A	莊
57E4	埤
91CD	重
5E97	店
6F6E	潮
864E	虎
74B0	環
4E0A	上
539F	原
9806	順
5F8C	後
539D	厝
5BF6	寶
52E2	勢
82B3	芳
77F3	石
6B0A	權
967D	陽
6CB3	河
6625	春
5FC3	心
7389	玉
5F37	強
6B78	歸
9E7D	鹽
694A	楊
95DC	關
4EFD	份
571F	土
5CF0	峰
6E90	源
5229	利
4E0B	下
5D07	崇
5DE6	左
5C4B	屋
5584	善
8349	草
80B2	育
4E39	丹
6FB3	澳
7ACB	立
82D1	苑
4F73	佳
79D1	科
6F8E	澎
82D3	苓
6CBB	治
65D7	旗
5E84	庄
8607	蘇
677F	板
65CF	族
6D32	洲
65E5	日
7D50	結
9752	青
79C0	秀
6176	慶
9999	香
99AC	馬
6751	村
82F1	英
88D5	裕
9CE5	鳥
4E95	井
8FB2	農
576A	坪
5143	元
7F85	羅
68A7	梧
8CE2	賢
7DAD	維
5EE3	廣
767D	白
5BE7	寧
70CF	烏
68F2	棲
667A	智
58EB	士
9F13	鼓
4F38	伸
5929	天
678B	枋
8056	聖
540E	后
52DD	勝
6FF1	濱
6C5F	江
795E	神
901A	通
5B98	官
9727	霧
6A6B	橫
7A57	穗
9053	道
9032	進
5D0E	崎
5EDF	廟
653F	政
884C	行
96C6	集
9EBB	麻
52C7	勇
6C50	汐
80A1	股
5408	合
8AA0	誠
6DE1	淡
7063	灣
60E0	惠
6734	朴
96D9	雙
535A	博
829D	芝
5982	如
6B62	止
9DAF	鶯
87BA	螺
5EAB	庫
570D	圍
5E9C	府
6148	慈
67F3	柳
5D01	崁
9928	館
6B4C	歌
6709	有
71D5	燕
53E4	古
8304	茄
6046	恆
6CC9	泉
6F22	漢
7901	礁
5065	健
9EA5	麥
5EF6	延
7DDA	線
5DE2	巢
7CBE	精
6C60	池
592E	央
76DB	盛
80CC	背
8CB4	貴
958B	開
756A	番
9756	靖
5DDD	川
4ED4	仔
5CFD	峽
5835	堵
5B9A	定
9435	鐵
5834	場
91CE	野
6F01	漁
529B	力
828E	芎
88E1	裡
666F	景
6FC3	濃
5733	圳
53F0	台
656C	敬
5E03	布
809A	肚
5E74	年
8ECA	車
8423	萣
888B	袋
9326	錦
5DD2	巒
52A0	加
9285	銅
5351	卑
9054	達
58C7	壇
58EF	壯
671D	朝
632F	振
5824	堤
767C	發
5916	外
908A	邊
6DF1	深
68EE	森
6953	楓
7403	球
7531	由
57D5	埕
5168	全
5B8F	宏
6D25	津
8CA2	貢
7D93	經
5C1A	尚
4EBA	人
540D	名
9640	陀
947C	鑼
5F4C	彌
6E9D	溝
6EFF	滿
811A	脚
4EAB	享
82AC	芬
58A9	墩
8173	腳
9704	霄
6708	月
820A	舊
7709	眉
7887	碇
5411	向
4F86	來
5E78	幸
7345	獅
5FD7	志
8ECD	軍
904E	過
8C46	豆
6850	桐
672C	本
4ED9	仙
6F84	澄
5858	塘
8859	衙
8C37	谷
7B49	等
5730	地
5BB6	家
5B85	宅
7AD9	站
83BF	莿
9060	遠
8D64	赤
5DBA	嶺
9593	間
5354	協
76CA	益
5C16	尖
6607	昇
5E95	底
79AE	禮
4ECB	介
5D17	崗
4EAC	京
6696	暖
5869	塩
738B	王
7FA4	群
50D1	僑
6E73	湳
8912	褒
5BAE	宮
4E3B	主
5353	卓
6842	桂
9F0E	鼎
963F	阿
51FA	出
6D1B	洛
7DA0	綠
9023	連
5CF6	島
9020	造
624D	才
7FE0	翠
7CD6	糖
6D0B	洋
81E8	臨
74E6	瓦
5F18	弘
6821	校
5898	墘
53CB	友
5CB8	岸
9B5A	魚
822A	航
83DC	菜
806F	聯
89D2	角
8914	褔
8218	舘
6703	會
591A	多
590F	夏
5713	圓
6749	杉
52E4	勤
8CBF	貿
5DBC	嶼
9ECE	黎
90FD	都
8392	莒
5761	坡
9E9F	麟
7D05	紅
7409	琉
81F3	至
767E	百
5C08	專
5CEF	峯
5206	分
6994	榔
5433	吳
4FEE	修
67CF	柏
90A8	邨
725B	牛
7518	甘
7167	照
8853	術
671B	望
5BE6	實
4E45	久
9675	陵
69FA	槺
5546	商
754C	界
5ECD	廍
4E16	世
6566	敦
5E7C	幼
9698	隘
6B23	欣
8C4A	豊
61F7	懷
5104	億
73E0	珠
907C	遼
68D2	棒
5F97	得
885B	衛
8F1D	輝
51F1	凱
6FDF	濟
597D	好
59D3	姓
78A7	碧
5EE0	廠
53CC	双
98A8	風
81F4	致
82F3	苳
5F35	張
6CD5	法
8001	老
9E97	麗
502B	倫
4EAD	亭
7814	研
4F5C	作
6069	恩
57F9	培
85DD	藝
6649	晉
76F4	直
4F5B	佛
65CB	旋
8239	船
676D	杭
6280	技
7AA9	窩
65F1	旱
6EAB	溫
90E8	部
9280	銀
9678	陸
746A	瑪
8E0F	踏
6CBF	沿
610F	意
7A3B	稻
6559	教
5CA9	岩
797F	祿
8861	衡
5B54	孔
74CA	瓊
5E38	常
9D6C	鵬
67EF	柯
5CE8	峨
773E	眾
5A01	威
689D	條
8E10	踐
969B	際
6C55	汕
63DA	揚
67D1	柑
5C55	展
4E9E	亞
4EA8	亨
5EC8	廈
9CF4	鳴
965D	陝
6BCD	母
6392	排
9C32	鰲
96B1	隱
5D11	崑
8C9E	貞
7261	牡
771F	真
4E59	乙
6CB9	油
5F90	徐
6052	恒
8302	茂
65ED	旭
7956	祖
7406	理
5343	千
77E5	知
5B88	守
7DEF	緯
96FB	電
7B2C	第
6DF5	淵
7682	皂
601D	思
69B4	榴
971E	霞
521D	初
4FCA	俊
62C9	拉
820D	舍
9632	防
723A	爺
65B9	方
7D8F	綏
7AEF	端
6FA4	澤
6D41	流
65FA	旺
4EC0	什
904B	運
67F4	柴
7893	碓
6A2A	横
7BA1	管
90A6	邦
584A	塊
4EF0	仰
5049	偉
627F	承
6A1F	樟
975C	靜
6D66	浦
8549	蕉
767B	登
7522	產
8449	葉
92D2	鋒
9EC3	黃
61B2	憲
666E	普
5C45	居
55AE	單
58C1	壁
79BE	禾
7687	皇
64AB	撫
4ED5	仕
539A	厚
65BD	施
826F	良
83C1	菁
840A	萊
5949	奉
7BE4	篤
6021	怡
7C73	米
7D2B	紫
6D6E	浮
5C07	將
586D	塭
62F1	拱
9662	院
5ABD	媽
5854	塔
7701	省
7766	睦
52A9	助
6728	木
5E06	帆
6D3B	活
6E29	温
6C23	氣
8A31	許
8373	荳
62D4	拔
4E92	互
559C	喜
