3401	㐁
3441	㑁
34FE	㓾
3502	㔂
3578	㕸
3585	㖅
35B8	㖸
35D8	㗘
35F1	㗱
3614	㘔
361B	㘛
361D	㘝
372E	㜮
3737	㜷
3757	㝗
3769	㝩
3909	㤉
3915	㤕
39C1	㧁
39CC	㧌
39CE	㧎
39D2	㧒
39E1	㧡
39E3	㧣
39FB	㧻
39FE	㧾
3A02	㨂
3A11	㨑
3A28	㨨
3A2A	㨪
3A3B	㨻
3A46	㩆
3A90	㪐
3B39	㬹
3C35	㰵
3D18	㴘
3D19	㴙
3DEE	㷮
3E10	㸐
3E30	㸰
3F13	㼓
3F4E	㽎
3F80	㾀
3F8A	㾊
3FF8	㿸
4010	䀐
402F	䀯
4034	䀴
406F	䁯
40D7	䃗
4180	䆀
41F6	䇶
4204	䈄
4242	䉂
4308	䌈
4599	䖙
45B3	䖳
45C1	䗁
45C6	䗆
45D0	䗐
4606	䘆
4625	䘥
463C	䘼
479A	䞚
47D3	䟓
47D8	䟘
47E9	䟩
4821	䠡
488D	䢍
48A2	䢢
4ACC	䫌
4BCB	䯋
4C85	䲅
4E00	一
4E01	丁
4E03	七
4E08	丈
4E09	三
4E0A	上
4E0B	下
4E0D	不
4E11	丑
4E14	且
4E15	丕
4E16	世
4E18	丘
4E19	丙
4E1E	丞
4E1F	丟
4E26	並
4E2A	个
4E2D	中
4E32	串
4E38	丸
4E39	丹
4E3B	主
4E3C	丼
4E45	久
4E48	么
4E4B	之
4E4D	乍
4E4E	乎
4E4F	乏
4E52	乒
4E53	乓
4E56	乖
4E58	乘
4E59	乙
4E5C	乜
4E5D	九
4E5E	乞
4E5F	也
4E69	乩
4E73	乳
4E7E	乾
4E82	亂
4E86	了
4E88	予
4E8B	事
4E8C	二
4E8D	亍
4E91	云
4E92	互
4E94	五
4E95	井
4E9B	些
4E9E	亞
4EA1	亡
4EA2	亢
4EA4	交
4EA5	亥
4EA6	亦
4EA8	亨
4EAB	享
4EAC	京
4EAD	亭
4EAE	亮
4EBA	人
4EBC	亼
4EC0	什
4EC1	仁
4EC3	仃
4EC4	仄
4EC6	仆
4EC7	仇
4ECA	今
4ECB	介
4ECD	仍
4ED4	仔
4ED5	仕
4ED6	他
4ED7	仗
4ED8	付
4ED9	仙
4EDD	仝
4EDF	仟
4EE3	代
4EE4	令
4EE5	以
4EF0	仰
4EF2	仲
4EF5	仵
4EF6	件
4EFB	任
4EFD	份
4EFF	仿
4F01	企
4F0A	伊
4F0D	伍
4F0F	伏
4F10	伐
4F11	休
4F15	伕
4F19	伙
4F28	伨
4F2F	伯
4F30	估
4F34	伴
4F36	伶
4F38	伸
4F3A	伺
4F3B	伻
4F3C	似
4F3D	伽
4F43	佃
4F46	但
4F47	佇
4F48	佈
4F4D	位
4F4E	低
4F4F	住
4F50	佐
4F51	佑
4F54	佔
4F55	何
4F57	佗
4F58	佘
4F59	余
4F5B	佛
4F5C	作
4F5F	佟
4F60	你
4F62	佢
4F63	佣
4F69	佩
4F6C	佬
4F6E	佮
4F6F	佯
4F70	佰
4F73	佳
4F75	併
4F7F	使
4F86	來
4F88	侈
4F8B	例
4F8D	侍
4F96	侖
4F97	侗
4F9B	供
4F9D	依
4FAE	侮
4FAF	侯
4FB5	侵
4FB7	侷
4FB9	侹
4FBF	便
4FC2	係
4FC3	促
4FC4	俄
4FCA	俊
4FCD	俍
4FCF	俏
4FD0	俐
4FD7	俗
4FD8	俘
4FDA	俚
4FDD	保
4FDE	俞
4FE0	俠
4FE1	信
4FEE	修
4FEF	俯
4FF1	俱
4FF3	俳
4FF8	俸
4FFA	俺
5006	倆
5008	倈
5009	倉
500B	個
